PASS 156 assertions
PASS Wrench recipe consumes exactly three iron ingots and produces one tool
PASS Wrench requires a workbench, does not stack and is not a placeable machine
PASS Battery → cable → crusher delivers exactly 160 W: face 0, rotation 0
PASS Removing cable disconnects power: face 0, rotation 0
PASS Configured item input accepts raw ore: face 0, rotation 0
PASS Reversing item end extracts only product without consuming input: face 0, rotation 0
PASS Fluid output moves exactly 100 mL on any face: face 0, rotation 0
PASS Reversing fluid ends sends stored water back without loss: face 0, rotation 0
PASS Battery → cable → crusher delivers exactly 160 W: face 0, rotation 1
PASS Removing cable disconnects power: face 0, rotation 1
PASS Configured item input accepts raw ore: face 0, rotation 1
PASS Reversing item end extracts only product without consuming input: face 0, rotation 1
PASS Fluid output moves exactly 100 mL on any face: face 0, rotation 1
PASS Reversing fluid ends sends stored water back without loss: face 0, rotation 1
PASS Battery → cable → crusher delivers exactly 160 W: face 0, rotation 2
PASS Removing cable disconnects power: face 0, rotation 2
PASS Configured item input accepts raw ore: face 0, rotation 2
PASS Reversing item end extracts only product without consuming input: face 0, rotation 2
PASS Fluid output moves exactly 100 mL on any face: face 0, rotation 2
PASS Reversing fluid ends sends stored water back without loss: face 0, rotation 2
PASS Battery → cable → crusher delivers exactly 160 W: face 0, rotation 3
PASS Removing cable disconnects power: face 0, rotation 3
PASS Configured item input accepts raw ore: face 0, rotation 3
PASS Reversing item end extracts only product without consuming input: face 0, rotation 3
PASS Fluid output moves exactly 100 mL on any face: face 0, rotation 3
PASS Reversing fluid ends sends stored water back without loss: face 0, rotation 3
PASS Battery → cable → crusher delivers exactly 160 W: face 1, rotation 0
PASS Removing cable disconnects power: face 1, rotation 0
PASS Configured item input accepts raw ore: face 1, rotation 0
PASS Reversing item end extracts only product without consuming input: face 1, rotation 0
PASS Fluid output moves exactly 100 mL on any face: face 1, rotation 0
PASS Reversing fluid ends sends stored water back without loss: face 1, rotation 0
PASS Battery → cable → crusher delivers exactly 160 W: face 1, rotation 1
PASS Removing cable disconnects power: face 1, rotation 1
