timestamp, temperature.gpu, clocks.current.graphics [MHz], utilization.gpu [%], power.draw [W], clocks_event_reasons.sw_thermal_slowdown
2026/09/22 09:00:30.212, 55, 300 MHz, 0 %, 14.73 W, Not Active
2026/09/22 09:00:32.266, 56, 1005 MHz, 0 %, 27.53 W, Not Active
2026/09/22 09:00:34.306, 54, 300 MHz, 0 %, 5.68 W, Not Active
2026/09/22 09:00:36.345, 59, 1920 MHz, 25 %, 56.49 W, Not Active
2026/09/22 09:00:38.379, 61, 1920 MHz, 41 %, 55.19 W, Not Active
2026/09/22 09:00:40.397, 62, 1920 MHz, 39 %, 57.93 W, Not Active
2026/09/22 09:00:42.436, 61, 1335 MHz, 13 %, 44.03 W, Not Active
2026/09/22 09:00:44.475, 62, 1395 MHz, 39 %, 46.09 W, Not Active
2026/09/22 09:00:46.514, 60, 1095 MHz, 28 %, 35.75 W, Not Active
2026/09/22 09:00:48.555, 61, 1215 MHz, 40 %, 40.34 W, Not Active
2026/09/22 09:00:50.586, 61, 1215 MHz, 38 %, 40.46 W, Not Active
2026/09/22 09:00:52.612, 61, 1200 MHz, 39 %, 37.73 W, Not Active
2026/09/22 09:00:54.649, 62, 1230 MHz, 40 %, 41.39 W, Not Active
2026/09/22 09:00:56.680, 62, 1275 MHz, 40 %, 42.37 W, Not Active
2026/09/22 09:00:58.703, 61, 1275 MHz, 12 %, 41.03 W, Not Active
2026/09/22 09:01:00.736, 62, 1335 MHz, 40 %, 43.97 W, Not Active
2026/09/22 09:01:02.760, 63, 1365 MHz, 39 %, 45.46 W, Not Active
2026/09/22 09:01:04.790, 63, 1335 MHz, 39 %, 44.38 W, Not Active
2026/09/22 09:01:06.834, 63, 1335 MHz, 39 %, 44.19 W, Not Active
2026/09/22 09:01:08.864, 63, 1335 MHz, 39 %, 44.41 W, Not Active
2026/09/22 09:01:10.887, 63, 1320 MHz, 39 %, 44.45 W, Not Active
2026/09/22 09:01:12.906, 64, 1320 MHz, 39 %, 44.77 W, Not Active
2026/09/22 09:01:14.932, 64, 1320 MHz, 39 %, 44.66 W, Not Active
2026/09/22 09:01:16.965, 64, 1320 MHz, 39 %, 44.74 W, Not Active
2026/09/22 09:01:18.994, 64, 1320 MHz, 35 %, 44.93 W, Not Active
2026/09/22 09:01:21.031, 64, 1350 MHz, 39 %, 45.63 W, Not Active
2026/09/22 09:01:23.070, 65, 1350 MHz, 39 %, 45.89 W, Not Active
2026/09/22 09:01:25.107, 65, 1365 MHz, 39 %, 46.60 W, Not Active
2026/09/22 09:01:27.136, 65, 1365 MHz, 39 %, 47.03 W, Not Active
2026/09/22 09:01:29.152, 65, 1395 MHz, 39 %, 47.68 W, Not Active
2026/09/22 09:01:31.179, 66, 1395 MHz, 39 %, 48.90 W, Not Active
2026/09/22 09:01:33.207, 66, 1395 MHz, 39 %, 48.08 W, Not Active
2026/09/22 09:01:35.244, 66, 1395 MHz, 39 %, 48.04 W, Not Active
2026/09/22 09:01:37.274, 66, 1395 MHz, 39 %, 47.28 W, Not Active
2026/09/22 09:01:39.307, 66, 1425 MHz, 39 %, 49.54 W, Not Active
2026/09/22 09:01:41.333, 66, 1425 MHz, 39 %, 49.96 W, Not Active
2026/09/22 09:01:43.366, 66, 1365 MHz, 37 %, 46.10 W, Not Active
2026/09/22 09:01:45.395, 67, 1455 MHz, 40 %, 51.37 W, Not Active
2026/09/22 09:01:47.432, 67, 1425 MHz, 39 %, 50.44 W, Not Active
2026/09/22 09:01:49.462, 67, 1425 MHz, 39 %, 50.43 W, Not Active
2026/09/22 09:01:51.491, 67, 1440 MHz, 39 %, 50.92 W, Not Active
2026/09/22 09:01:53.525, 68, 1470 MHz, 38 %, 52.66 W, Not Active
2026/09/22 09:01:55.555, 68, 1440 MHz, 39 %, 51.40 W, Not Active
2026/09/22 09:01:57.580, 68, 1425 MHz, 39 %, 49.43 W, Not Active
2026/09/22 09:01:59.604, 68, 1425 MHz, 39 %, 50.03 W, Not Active
2026/09/22 09:02:01.634, 67, 1290 MHz, 33 %, 44.82 W, Not Active
2026/09/22 09:02:03.656, 66, 1275 MHz, 39 %, 44.87 W, Not Active
2026/09/22 09:02:05.690, 66, 1275 MHz, 39 %, 44.66 W, Not Active
2026/09/22 09:02:07.721, 66, 1260 MHz, 39 %, 43.83 W, Not Active
2026/09/22 09:02:09.745, 66, 1290 MHz, 39 %, 43.36 W, Not Active
2026/09/22 09:02:11.767, 66, 1320 MHz, 39 %, 46.04 W, Not Active
2026/09/22 09:02:13.786, 65, 1215 MHz, 18 %, 43.23 W, Not Active
2026/09/22 09:02:15.822, 67, 1395 MHz, 39 %, 48.46 W, Not Active
2026/09/22 09:02:17.853, 67, 1395 MHz, 39 %, 48.79 W, Not Active
2026/09/22 09:02:19.884, 67, 1335 MHz, 39 %, 47.04 W, Not Active
2026/09/22 09:02:21.915, 67, 1425 MHz, 39 %, 44.23 W, Not Active
2026/09/22 09:02:23.945, 66, 1110 MHz, 33 %, 39.07 W, Not Active
2026/09/22 09:02:25.976, 65, 1050 MHz, 37 %, 37.95 W, Not Active
2026/09/22 09:02:28.008, 65, 1125 MHz, 38 %, 39.58 W, Not Active
2026/09/22 09:02:30.043, 66, 1380 MHz, 41 %, 47.25 W, Not Active
2026/09/22 09:02:32.075, 67, 1350 MHz, 39 %, 46.33 W, Not Active
2026/09/22 09:02:34.097, 67, 1410 MHz, 36 %, 49.41 W, Not Active
2026/09/22 09:02:36.136, 67, 1395 MHz, 39 %, 49.76 W, Not Active
2026/09/22 09:02:38.173, 67, 1320 MHz, 31 %, 46.23 W, Not Active
2026/09/22 09:02:40.205, 67, 1290 MHz, 38 %, 44.68 W, Not Active
2026/09/22 09:02:42.230, 67, 1290 MHz, 39 %, 44.41 W, Not Active
2026/09/22 09:02:44.257, 67, 1275 MHz, 39 %, 44.68 W, Not Active
2026/09/22 09:02:46.285, 67, 1260 MHz, 39 %, 44.34 W, Not Active
2026/09/22 09:02:48.311, 67, 1245 MHz, 39 %, 44.06 W, Not Active
2026/09/22 09:02:50.343, 67, 1245 MHz, 39 %, 44.02 W, Not Active
2026/09/22 09:02:52.380, 67, 1230 MHz, 38 %, 43.17 W, Not Active
2026/09/22 09:02:54.411, 67, 1200 MHz, 38 %, 42.56 W, Not Active
2026/09/22 09:02:56.444, 67, 1260 MHz, 38 %, 43.67 W, Not Active
2026/09/22 09:02:58.477, 67, 1215 MHz, 38 %, 42.56 W, Not Active
2026/09/22 09:03:00.510, 66, 1200 MHz, 39 %, 42.39 W, Not Active
2026/09/22 09:03:02.539, 66, 1185 MHz, 39 %, 41.13 W, Not Active
2026/09/22 09:03:04.573, 66, 1185 MHz, 39 %, 41.89 W, Not Active
2026/09/22 09:03:06.604, 66, 1185 MHz, 39 %, 42.02 W, Not Active
