PASS RuntimeDiagnosticsChecks: 8,044 ms
PASS FluidRoutingChecks: 238,025 ms
PASS WorldLitBatchingChecks: 7,050 ms
PASS IndustryMaterialVariantChecks: 447,977 ms
PASS ResourceTickChecks: 79,754 ms
PASS ChunkWorkPriorityChecks: 18,299 ms
PASS ControlPresetChecks: 16,229 ms
PASS PresentationViewCacheChecks: 11,297 ms
PASS ResidencyInvalidationChecks: 48,480 ms
PASS ItemInputContractChecks: 3,033 ms
PASS SaveCompatibilityChecks: 1357,424 ms
PASS DomainChecks: 5736,516 ms
PASS CraftingChecks: 582,191 ms
PASS PerformanceChecks: 3813,418 ms
PASS InventoryChecks: 6,677 ms
PASS ToolDurabilityChecks: 8,189 ms
PASS PortableStorageChecks: 4,892 ms
PASS TagReviewChecks: 30,475 ms
PASS FarmingChecks: 485,681 ms
PASS FishingChecks: 8,737 ms
PASS ChickenChecks: 5,967 ms
PASS FoodBalanceChecks: 208,256 ms
PASS CompostChecks: 20,962 ms
PASS BedChecks: 6,955 ms
PASS LightingChecks: 8,763 ms
PASS FluidChecks: 286,897 ms
PASS LavaChecks: 210,310 ms
PASS DayNightChecks: 3,334 ms
PASS AlphaPlaytestChecks: 3,631 ms
PASS AlphaWorldChecks: 105,530 ms
PASS FloaterChecks: 4,558 ms
PASS IndustryChecks: 4224,470 ms
PASS ElectricFurnaceChecks: 68,430 ms
PASS GridAllocationChecks: 9,946 ms
PASS BatteryChecks: 18,703 ms
PASS MultiblockChecks: 45,197 ms
PASS ConnectionChecks: 70,090 ms
PASS ConnectedPipeChecks: 153,218 ms
PASS ItemPipeChecks: 84,077 ms
PASS DoorChecks: 3,505 ms
PASS HandCrankChecks: 9,618 ms
PASS BridgeChecks: 2538,335 ms
PASS RangedPumpChecks: 47,452 ms
PASS CrateChecks: 173,099 ms
PASS CrateRoutingEdgeChecks: 4,489 ms
PASS RenewableChecks: 17,213 ms
PASS RenewablePowerChecks: 3,516 ms
PASS RenewableCompatibilityChecks: 1824,351 ms
