PASS RuntimeDiagnosticsChecks: 8,876 ms
PASS FluidRoutingChecks: 290,294 ms
PASS WorldLitBatchingChecks: 6,809 ms
PASS IndustryMaterialVariantChecks: 446,822 ms
PASS ResourceTickChecks: 89,722 ms
PASS ChunkWorkPriorityChecks: 14,007 ms
PASS ControlPresetChecks: 16,763 ms
PASS PresentationViewCacheChecks: 13,664 ms
PASS ResidencyInvalidationChecks: 53,509 ms
PASS ItemInputContractChecks: 2,973 ms
PASS SaveCompatibilityChecks: 1479,193 ms
PASS DomainChecks: 6162,067 ms
PASS CraftingChecks: 611,158 ms
PASS PerformanceChecks: 3952,305 ms
PASS InventoryChecks: 6,250 ms
PASS ToolDurabilityChecks: 6,133 ms
PASS PortableStorageChecks: 3,953 ms
PASS TagReviewChecks: 29,272 ms
PASS FarmingChecks: 480,836 ms
PASS FishingChecks: 8,273 ms
PASS ChickenChecks: 5,159 ms
PASS FoodBalanceChecks: 181,270 ms
PASS CompostChecks: 16,882 ms
PASS BedChecks: 5,671 ms
PASS LightingChecks: 5,985 ms
PASS FluidChecks: 274,243 ms
PASS LavaChecks: 240,486 ms
PASS DayNightChecks: 3,114 ms
PASS AlphaPlaytestChecks: 3,707 ms
PASS AlphaWorldChecks: 110,027 ms
PASS FloaterChecks: 4,053 ms
PASS IndustryChecks: 4065,389 ms
PASS ElectricFurnaceChecks: 70,187 ms
PASS GridAllocationChecks: 9,624 ms
PASS BatteryChecks: 19,215 ms
PASS MultiblockChecks: 53,961 ms
PASS ConnectionChecks: 94,237 ms
PASS ConnectedPipeChecks: 151,132 ms
PASS ItemPipeChecks: 47,965 ms
PASS DoorChecks: 3,208 ms
PASS HandCrankChecks: 7,241 ms
PASS BridgeChecks: 2716,231 ms
PASS RangedPumpChecks: 50,974 ms
PASS CrateChecks: 180,650 ms
PASS CrateRoutingEdgeChecks: 4,003 ms
PASS RenewableChecks: 23,752 ms
PASS RenewablePowerChecks: 3,501 ms
PASS RenewableCompatibilityChecks: 1925,466 ms
