timestamp, temperature.gpu, clocks.current.graphics [MHz], utilization.gpu [%], power.draw [W], clocks_event_reasons.sw_thermal_slowdown
2026/09/22 11:59:09.665, 59, 1005 MHz, 0 %, 16.05 W, Not Active
2026/09/22 11:59:11.711, 67, 1905 MHz, 86 %, 64.87 W, Not Active
2026/09/22 11:59:13.751, 69, 1905 MHz, 1 %, 62.05 W, Not Active
2026/09/22 11:59:15.799, 71, 1890 MHz, 33 %, 82.65 W, Not Active
2026/09/22 11:59:17.833, 69, 1410 MHz, 36 %, 50.42 W, Not Active
2026/09/22 11:59:19.878, 69, 1440 MHz, 38 %, 52.72 W, Not Active
2026/09/22 11:59:21.917, 70, 1500 MHz, 40 %, 56.15 W, Not Active
2026/09/22 11:59:23.964, 72, 1530 MHz, 39 %, 58.25 W, Not Active
2026/09/22 11:59:26.006, 74, 1620 MHz, 40 %, 65.04 W, Not Active
2026/09/22 11:59:28.049, 75, 1650 MHz, 39 %, 69.17 W, Not Active
2026/09/22 11:59:30.084, 78, 1695 MHz, 39 %, 76.30 W, Not Active
2026/09/22 11:59:32.120, 80, 1710 MHz, 40 %, 79.71 W, Not Active
2026/09/22 11:59:34.153, 81, 1605 MHz, 40 %, 70.24 W, Active
2026/09/22 11:59:36.174, 82, 1665 MHz, 42 %, 78.56 W, Active
2026/09/22 11:59:38.190, 82, 1650 MHz, 44 %, 72.36 W, Active
2026/09/22 11:59:40.209, 83, 1620 MHz, 45 %, 71.29 W, Active
2026/09/22 11:59:42.228, 83, 1620 MHz, 44 %, 76.10 W, Active
2026/09/22 11:59:44.244, 82, 1620 MHz, 43 %, 72.17 W, Active
2026/09/22 11:59:46.255, 83, 1680 MHz, 43 %, 77.33 W, Active
2026/09/22 11:59:48.269, 82, 1470 MHz, 43 %, 63.43 W, Active
2026/09/22 11:59:50.283, 82, 1650 MHz, 43 %, 69.53 W, Not Active
2026/09/22 11:59:52.318, 83, 1575 MHz, 43 %, 72.16 W, Active
2026/09/22 11:59:54.336, 83, 1575 MHz, 43 %, 72.14 W, Active
2026/09/22 11:59:56.364, 83, 1650 MHz, 43 %, 71.57 W, Active
2026/09/22 11:59:58.390, 82, 1515 MHz, 43 %, 64.61 W, Active
2026/09/22 12:00:00.404, 82, 1530 MHz, 44 %, 66.00 W, Active
2026/09/22 12:00:02.431, 83, 1635 MHz, 44 %, 70.60 W, Not Active
2026/09/22 12:00:04.461, 84, 1650 MHz, 45 %, 76.68 W, Active
2026/09/22 12:00:06.476, 84, 1650 MHz, 45 %, 76.90 W, Active
2026/09/22 12:00:08.499, 83, 1680 MHz, 44 %, 69.41 W, Not Active
2026/09/22 12:00:10.524, 84, 1680 MHz, 45 %, 70.32 W, Active
2026/09/22 12:00:12.539, 83, 1260 MHz, 44 %, 76.59 W, Active
2026/09/22 12:00:14.558, 83, 1635 MHz, 44 %, 71.06 W, Not Active
2026/09/22 12:00:16.588, 84, 1530 MHz, 46 %, 69.85 W, Active
2026/09/22 12:00:18.608, 84, 1560 MHz, 44 %, 70.18 W, Active
2026/09/22 12:00:20.624, 84, 1635 MHz, 45 %, 68.99 W, Active
2026/09/22 12:00:22.653, 83, 1590 MHz, 44 %, 66.49 W, Active
2026/09/22 12:00:24.664, 83, 1500 MHz, 45 %, 61.07 W, Active
2026/09/22 12:00:26.684, 83, 1515 MHz, 45 %, 68.46 W, Active
2026/09/22 12:00:28.713, 82, 1335 MHz, 45 %, 55.94 W, Active
2026/09/22 12:00:30.731, 83, 1395 MHz, 53 %, 61.42 W, Active
2026/09/22 12:00:32.751, 83, 1380 MHz, 52 %, 59.88 W, Active
2026/09/22 12:00:34.766, 84, 1560 MHz, 54 %, 69.67 W, Active
2026/09/22 12:00:36.780, 84, 1575 MHz, 47 %, 70.58 W, Active
2026/09/22 12:00:38.795, 84, 1620 MHz, 46 %, 67.81 W, Active
2026/09/22 12:00:40.819, 81, 1455 MHz, 50 %, 48.81 W, Not Active
2026/09/22 12:00:42.857, 84, 1245 MHz, 44 %, 69.45 W, Active
2026/09/22 12:00:44.876, 82, 1230 MHz, 44 %, 53.12 W, Active
2026/09/22 12:00:46.891, 84, 1560 MHz, 45 %, 68.92 W, Active
2026/09/22 12:00:48.909, 84, 1545 MHz, 46 %, 69.85 W, Active
2026/09/22 12:00:50.930, 84, 1350 MHz, 47 %, 73.93 W, Active
2026/09/22 12:00:52.944, 83, 1515 MHz, 48 %, 70.91 W, Not Active
2026/09/22 12:00:54.973, 84, 1425 MHz, 66 %, 67.21 W, Active
2026/09/22 12:00:56.995, 84, 930 MHz, 82 %, 70.93 W, Active
2026/09/22 12:00:59.015, 84, 1395 MHz, 75 %, 71.31 W, Active
2026/09/22 12:01:01.034, 83, 1035 MHz, 79 %, 59.72 W, Active
2026/09/22 12:01:03.054, 82, 1350 MHz, 80 %, 45.02 W, Not Active
2026/09/22 12:01:05.083, 79, 1035 MHz, 27 %, 42.76 W, Not Active
2026/09/22 12:01:07.120, 77, 975 MHz, 37 %, 40.59 W, Not Active
2026/09/22 12:01:09.145, 77, 1065 MHz, 40 %, 43.16 W, Not Active
2026/09/22 12:01:11.172, 77, 1155 MHz, 39 %, 46.45 W, Not Active
2026/09/22 12:01:13.203, 78, 1230 MHz, 40 %, 47.82 W, Not Active
2026/09/22 12:01:15.226, 79, 1425 MHz, 40 %, 57.28 W, Not Active
2026/09/22 12:01:17.255, 82, 1545 MHz, 40 %, 65.71 W, Not Active
2026/09/22 12:01:19.287, 84, 1590 MHz, 39 %, 72.44 W, Not Active
2026/09/22 12:01:21.318, 84, 1605 MHz, 43 %, 71.48 W, Active
2026/09/22 12:01:23.342, 83, 1395 MHz, 52 %, 59.89 W, Active
2026/09/22 12:01:25.358, 83, 1710 MHz, 33 %, 61.18 W, Not Active
2026/09/22 12:01:27.378, 74, 375 MHz, 6 %, 16.76 W, Not Active
2026/09/22 12:01:29.416, 71, 375 MHz, 11 %, 8.91 W, Not Active
2026/09/22 12:01:31.454, 70, 300 MHz, 14 %, 8.45 W, Not Active
2026/09/22 12:01:33.497, 69, 300 MHz, 19 %, 13.75 W, Not Active
2026/09/22 12:01:35.550, 68, 300 MHz, 28 %, 12.71 W, Not Active
2026/09/22 12:01:37.586, 67, 375 MHz, 26 %, 8.03 W, Not Active
2026/09/22 12:01:39.626, 66, 300 MHz, 12 %, 7.79 W, Not Active
2026/09/22 12:01:41.658, 66, 300 MHz, 9 %, 7.74 W, Not Active
2026/09/22 12:01:43.697, 65, 300 MHz, 4 %, 7.88 W, Not Active
2026/09/22 12:01:45.734, 65, 300 MHz, 4 %, 7.39 W, Not Active
2026/09/22 12:01:47.776, 64, 300 MHz, 4 %, 9.42 W, Not Active
2026/09/22 12:01:49.827, 64, 300 MHz, 5 %, 13.66 W, Not Active
2026/09/22 12:01:51.870, 64, 300 MHz, 4 %, 7.22 W, Not Active
2026/09/22 12:01:53.915, 63, 300 MHz, 5 %, 6.98 W, Not Active
2026/09/22 12:01:55.958, 63, 300 MHz, 5 %, 7.04 W, Not Active
2026/09/22 12:01:57.993, 63, 300 MHz, 5 %, 7.08 W, Not Active
2026/09/22 12:02:00.026, 63, 300 MHz, 0 %, 7.34 W, Not Active
2026/09/22 12:02:02.065, 62, 300 MHz, 4 %, 7.22 W, Not Active
2026/09/22 12:02:04.105, 71, 1905 MHz, 29 %, 74.38 W, Not Active
2026/09/22 12:02:06.128, 81, 1575 MHz, 52 %, 93.18 W, Active
2026/09/22 12:02:08.148, 81, 1455 MHz, 84 %, 81.19 W, Active
2026/09/22 12:02:10.160, 84, 1635 MHz, 97 %, 60.01 W, Not Active
2026/09/22 12:02:12.173, 82, 1350 MHz, 87 %, 79.78 W, Active
2026/09/22 12:02:14.190, 83, 1350 MHz, 98 %, 79.51 W, Active
2026/09/22 12:02:16.216, 82, 1290 MHz, 95 %, 70.85 W, Active
2026/09/22 12:02:18.233, 82, 1200 MHz, 95 %, 67.90 W, Active
2026/09/22 12:02:20.267, 83, 1320 MHz, 98 %, 77.58 W, Active
2026/09/22 12:02:22.295, 83, 1305 MHz, 97 %, 75.50 W, Active
2026/09/22 12:02:24.312, 84, 1275 MHz, 98 %, 73.57 W, Active
2026/09/22 12:02:26.335, 82, 1095 MHz, 97 %, 58.41 W, Active
2026/09/22 12:02:28.350, 83, 1365 MHz, 98 %, 71.53 W, Active
2026/09/22 12:02:30.370, 83, 1110 MHz, 98 %, 58.64 W, Active
2026/09/22 12:02:32.388, 86, 900 MHz, 96 %, 107.30 W, Active
2026/09/22 12:02:34.402, 82, 915 MHz, 98 %, 55.53 W, Active
2026/09/22 12:02:36.422, 84, 1230 MHz, 97 %, 70.36 W, Active
2026/09/22 12:02:38.455, 85, 1260 MHz, 98 %, 72.82 W, Active
2026/09/22 12:02:40.479, 85, 1305 MHz, 99 %, 75.82 W, Active
2026/09/22 12:02:42.504, 84, 1185 MHz, 98 %, 70.11 W, Active
2026/09/22 12:02:44.523, 85, 1170 MHz, 98 %, 70.07 W, Active
2026/09/22 12:02:46.536, 85, 1170 MHz, 97 %, 69.13 W, Active
2026/09/22 12:02:48.562, 82, 1005 MHz, 99 %, 41.37 W, Not Active
2026/09/22 12:02:50.662, 84, 1185 MHz, 98 %, 69.07 W, Active
2026/09/22 12:02:52.682, 85, 1140 MHz, 99 %, 68.94 W, Active
2026/09/22 12:02:54.708, 83, 840 MHz, 99 %, 54.14 W, Active
2026/09/22 12:02:56.724, 85, 1080 MHz, 99 %, 59.52 W, Active
2026/09/22 12:02:58.750, 83, 480 MHz, 96 %, 49.01 W, Active
2026/09/22 12:03:00.768, 84, 1080 MHz, 97 %, 63.69 W, Active
2026/09/22 12:03:02.793, 84, 945 MHz, 96 %, 61.78 W, Active
2026/09/22 12:03:04.816, 82, 1005 MHz, 94 %, 45.55 W, Not Active
2026/09/22 12:03:06.852, 84, 1215 MHz, 99 %, 66.99 W, Active
2026/09/22 12:03:08.864, 85, 1140 MHz, 99 %, 68.75 W, Active
2026/09/22 12:03:10.887, 85, 1080 MHz, 99 %, 65.40 W, Active
2026/09/22 12:03:12.913, 85, 1125 MHz, 98 %, 65.42 W, Active
2026/09/22 12:03:14.930, 85, 1080 MHz, 99 %, 66.15 W, Active
2026/09/22 12:03:16.936, 84, 660 MHz, 43 %, 53.17 W, Active
2026/09/22 12:03:18.960, 85, 480 MHz, 97 %, 55.28 W, Active
2026/09/22 12:03:20.986, 84, 1410 MHz, 95 %, 55.58 W, Not Active
2026/09/22 12:03:23.014, 84, 1065 MHz, 97 %, 60.82 W, Active
2026/09/22 12:03:25.044, 83, 690 MHz, 98 %, 50.10 W, Active
2026/09/22 12:03:27.058, 87, 1425 MHz, 98 %, 101.09 W, Active
2026/09/22 12:03:29.086, 85, 1200 MHz, 96 %, 71.59 W, Active
2026/09/22 12:03:31.116, 84, 660 MHz, 97 %, 52.53 W, Active
2026/09/22 12:03:33.139, 85, 1320 MHz, 97 %, 70.92 W, Active
2026/09/22 12:03:35.170, 82, 300 MHz, 96 %, 41.36 W, Active
2026/09/22 12:03:37.184, 84, 990 MHz, 98 %, 57.59 W, Active
2026/09/22 12:03:39.199, 84, 1125 MHz, 99 %, 63.74 W, Active
2026/09/22 12:03:41.224, 85, 1125 MHz, 98 %, 67.11 W, Active
2026/09/22 12:03:43.241, 85, 1125 MHz, 96 %, 66.41 W, Active
2026/09/22 12:03:45.265, 84, 1005 MHz, 96 %, 59.60 W, Active
2026/09/22 12:03:47.282, 84, 1140 MHz, 89 %, 67.71 W, Not Active
2026/09/22 12:03:49.317, 83, 1005 MHz, 98 %, 53.77 W, Not Active
2026/09/22 12:03:51.358, 83, 1005 MHz, 97 %, 51.70 W, Not Active
2026/09/22 12:03:53.392, 83, 1005 MHz, 97 %, 53.88 W, Not Active
2026/09/22 12:03:55.430, 83, 1005 MHz, 98 %, 55.43 W, Not Active
2026/09/22 12:03:57.461, 83, 1005 MHz, 97 %, 53.01 W, Not Active
2026/09/22 12:03:59.490, 83, 1005 MHz, 98 %, 53.39 W, Not Active
2026/09/22 12:04:01.521, 83, 1005 MHz, 92 %, 53.04 W, Not Active
2026/09/22 12:04:03.565, 83, 1005 MHz, 98 %, 53.87 W, Not Active
2026/09/22 12:04:05.596, 82, 1005 MHz, 93 %, 52.88 W, Not Active
2026/09/22 12:04:07.633, 82, 1005 MHz, 95 %, 41.14 W, Not Active
2026/09/22 12:04:09.660, 82, 1005 MHz, 98 %, 41.07 W, Not Active
2026/09/22 12:04:11.696, 82, 1005 MHz, 98 %, 41.19 W, Not Active
2026/09/22 12:04:13.728, 82, 1005 MHz, 96 %, 41.09 W, Not Active
2026/09/22 12:04:15.778, 82, 1005 MHz, 98 %, 41.10 W, Not Active
2026/09/22 12:04:17.810, 82, 1005 MHz, 94 %, 41.19 W, Not Active
2026/09/22 12:04:19.859, 83, 1005 MHz, 98 %, 58.81 W, Not Active
2026/09/22 12:04:21.897, 83, 1005 MHz, 96 %, 58.44 W, Not Active
2026/09/22 12:04:23.922, 83, 1005 MHz, 96 %, 58.24 W, Not Active
2026/09/22 12:04:25.956, 87, 1575 MHz, 96 %, 108.12 W, Not Active
2026/09/22 12:04:27.985, 87, 1665 MHz, 97 %, 77.44 W, Not Active
2026/09/22 12:04:30.004, 85, 1230 MHz, 99 %, 66.59 W, Active
2026/09/22 12:04:32.019, 88, 1050 MHz, 96 %, 100.36 W, Active
2026/09/22 12:04:34.054, 85, 1155 MHz, 99 %, 66.72 W, Active
2026/09/22 12:04:36.079, 85, 1140 MHz, 97 %, 69.02 W, Active
2026/09/22 12:04:38.101, 85, 1140 MHz, 97 %, 66.04 W, Active
2026/09/22 12:04:40.124, 88, 1560 MHz, 99 %, 80.52 W, Not Active
2026/09/22 12:04:42.156, 85, 1140 MHz, 98 %, 65.87 W, Active
2026/09/22 12:04:44.173, 82, 1005 MHz, 97 %, 41.17 W, Not Active
2026/09/22 12:04:46.283, 82, 300 MHz, 96 %, 40.92 W, Active
2026/09/22 12:04:48.299, 84, 855 MHz, 99 %, 60.40 W, Active
2026/09/22 12:04:50.306, 85, 1380 MHz, 91 %, 67.13 W, Active
2026/09/22 12:04:52.327, 84, 1425 MHz, 86 %, 42.39 W, Not Active
2026/09/22 12:04:54.365, 83, 1005 MHz, 83 %, 47.54 W, Not Active
2026/09/22 12:04:56.397, 85, 600 MHz, 84 %, 64.50 W, Active
2026/09/22 12:04:58.412, 84, 600 MHz, 86 %, 44.85 W, Active
2026/09/22 12:05:00.433, 85, 1185 MHz, 93 %, 68.32 W, Active
2026/09/22 12:05:02.454, 85, 1200 MHz, 92 %, 67.13 W, Active
2026/09/22 12:05:04.469, 84, 1095 MHz, 85 %, 52.73 W, Active
2026/09/22 12:05:06.490, 84, 300 MHz, 95 %, 51.90 W, Active
2026/09/22 12:05:08.512, 82, 1005 MHz, 96 %, 41.37 W, Not Active
2026/09/22 12:05:10.620, 83, 1005 MHz, 96 %, 41.58 W, Not Active
2026/09/22 12:05:12.655, 82, 1005 MHz, 99 %, 41.30 W, Not Active
2026/09/22 12:05:14.701, 82, 1005 MHz, 98 %, 41.28 W, Not Active
2026/09/22 12:05:16.752, 82, 1005 MHz, 94 %, 44.12 W, Not Active
2026/09/22 12:05:18.784, 84, 975 MHz, 97 %, 56.16 W, Active
