PASS RuntimeDiagnosticsChecks: 9,069 ms
PASS FluidRoutingChecks: 233,192 ms
PASS WorldLitBatchingChecks: 17,487 ms
PASS IndustryMaterialVariantChecks: 458,687 ms
PASS ResourceTickChecks: 90,128 ms
PASS ChunkWorkPriorityChecks: 13,409 ms
PASS ControlPresetChecks: 17,370 ms
PASS PresentationViewCacheChecks: 11,744 ms
PASS ResidencyInvalidationChecks: 54,586 ms
PASS ItemInputContractChecks: 3,026 ms
PASS SaveCompatibilityChecks: 1407,503 ms
PASS DomainChecks: 5696,179 ms
PASS CraftingChecks: 568,178 ms
PASS PerformanceChecks: 3712,363 ms
PASS InventoryChecks: 6,440 ms
PASS ToolDurabilityChecks: 6,169 ms
PASS PortableStorageChecks: 4,224 ms
PASS TagReviewChecks: 29,677 ms
PASS FarmingChecks: 469,929 ms
PASS FishingChecks: 8,148 ms
PASS ChickenChecks: 5,437 ms
PASS FoodBalanceChecks: 168,262 ms
PASS CompostChecks: 18,175 ms
PASS BedChecks: 5,639 ms
PASS LightingChecks: 6,947 ms
PASS FluidChecks: 276,041 ms
PASS LavaChecks: 227,927 ms
PASS DayNightChecks: 3,382 ms
PASS AlphaPlaytestChecks: 3,971 ms
PASS AlphaWorldChecks: 132,723 ms
PASS FloaterChecks: 4,477 ms
PASS IndustryChecks: 4437,682 ms
PASS ElectricFurnaceChecks: 78,673 ms
PASS GridAllocationChecks: 10,608 ms
PASS BatteryChecks: 20,888 ms
PASS MultiblockChecks: 51,695 ms
PASS ConnectionChecks: 74,643 ms
PASS ConnectedPipeChecks: 150,647 ms
PASS ItemPipeChecks: 60,694 ms
PASS DoorChecks: 3,995 ms
PASS HandCrankChecks: 8,343 ms
PASS BridgeChecks: 2603,314 ms
PASS RangedPumpChecks: 49,917 ms
PASS CrateChecks: 198,010 ms
PASS CrateRoutingEdgeChecks: 4,085 ms
PASS RenewableChecks: 18,523 ms
PASS RenewablePowerChecks: 3,350 ms
PASS RenewableCompatibilityChecks: 1857,165 ms
