timestamp, temperature.gpu, clocks.current.graphics [MHz], utilization.gpu [%], power.draw [W], clocks_event_reasons.sw_thermal_slowdown
2026/09/22 12:42:03.140, 53, 1005 MHz, 0 %, 14.25 W, Not Active
2026/09/22 12:42:05.175, 59, 1920 MHz, 87 %, 58.25 W, Not Active
2026/09/22 12:42:07.219, 60, 1920 MHz, 1 %, 55.19 W, Not Active
2026/09/22 12:42:09.252, 63, 1920 MHz, 29 %, 77.85 W, Not Active
2026/09/22 12:42:11.288, 60, 1320 MHz, 33 %, 43.89 W, Not Active
2026/09/22 12:42:13.338, 61, 1350 MHz, 39 %, 44.74 W, Not Active
2026/09/22 12:42:15.387, 62, 1470 MHz, 40 %, 50.21 W, Not Active
2026/09/22 12:42:17.435, 63, 1500 MHz, 39 %, 52.42 W, Not Active
2026/09/22 12:42:19.486, 65, 1560 MHz, 40 %, 56.43 W, Not Active
2026/09/22 12:42:21.555, 66, 1650 MHz, 40 %, 61.43 W, Not Active
2026/09/22 12:42:23.592, 68, 1635 MHz, 39 %, 62.10 W, Not Active
2026/09/22 12:42:25.616, 69, 1695 MHz, 40 %, 68.47 W, Not Active
2026/09/22 12:42:27.651, 73, 1830 MHz, 40 %, 83.49 W, Not Active
2026/09/22 12:42:29.683, 77, 1875 MHz, 41 %, 97.05 W, Not Active
2026/09/22 12:42:31.714, 79, 1830 MHz, 41 %, 95.74 W, Active
2026/09/22 12:42:33.736, 80, 1800 MHz, 40 %, 89.32 W, Not Active
2026/09/22 12:42:35.770, 80, 1740 MHz, 41 %, 81.61 W, Active
2026/09/22 12:42:37.789, 80, 1770 MHz, 41 %, 88.31 W, Active
2026/09/22 12:42:39.815, 81, 1710 MHz, 41 %, 90.54 W, Active
2026/09/22 12:42:41.839, 80, 1740 MHz, 41 %, 82.84 W, Not Active
2026/09/22 12:42:43.871, 81, 1725 MHz, 41 %, 85.52 W, Active
2026/09/22 12:42:45.895, 81, 1710 MHz, 42 %, 82.56 W, Active
2026/09/22 12:42:47.928, 81, 1740 MHz, 41 %, 83.01 W, Active
2026/09/22 12:42:49.945, 81, 1740 MHz, 42 %, 84.50 W, Active
2026/09/22 12:42:51.958, 81, 1725 MHz, 42 %, 78.69 W, Active
2026/09/22 12:42:53.978, 81, 1695 MHz, 41 %, 79.58 W, Active
2026/09/22 12:42:55.993, 81, 1680 MHz, 42 %, 79.85 W, Active
2026/09/22 12:42:58.015, 81, 1695 MHz, 41 %, 78.67 W, Active
2026/09/22 12:43:00.040, 81, 1665 MHz, 42 %, 75.88 W, Active
2026/09/22 12:43:02.065, 82, 1725 MHz, 41 %, 78.00 W, Active
2026/09/22 12:43:04.094, 82, 1650 MHz, 42 %, 76.92 W, Active
2026/09/22 12:43:06.110, 82, 1665 MHz, 41 %, 77.21 W, Active
2026/09/22 12:43:08.126, 82, 1680 MHz, 42 %, 74.00 W, Not Active
2026/09/22 12:43:10.152, 83, 1650 MHz, 42 %, 77.83 W, Active
2026/09/22 12:43:12.182, 83, 1620 MHz, 43 %, 81.96 W, Active
2026/09/22 12:43:14.211, 83, 1440 MHz, 41 %, 76.59 W, Active
2026/09/22 12:43:16.233, 83, 1650 MHz, 42 %, 76.85 W, Active
2026/09/22 12:43:18.254, 82, 1530 MHz, 43 %, 65.64 W, Active
2026/09/22 12:43:20.274, 83, 1575 MHz, 42 %, 72.82 W, Active
2026/09/22 12:43:22.303, 83, 1545 MHz, 39 %, 73.31 W, Active
2026/09/22 12:43:24.317, 83, 1545 MHz, 49 %, 73.47 W, Active
2026/09/22 12:43:26.342, 82, 1515 MHz, 50 %, 64.32 W, Active
2026/09/22 12:43:28.359, 83, 1620 MHz, 49 %, 72.41 W, Active
2026/09/22 12:43:30.378, 84, 1530 MHz, 47 %, 84.85 W, Active
2026/09/22 12:43:32.403, 83, 1455 MHz, 43 %, 73.64 W, Active
2026/09/22 12:43:34.418, 83, 1710 MHz, 43 %, 77.46 W, Active
2026/09/22 12:43:36.435, 83, 1620 MHz, 43 %, 73.83 W, Active
2026/09/22 12:43:38.451, 82, 1245 MHz, 43 %, 67.45 W, Active
2026/09/22 12:43:40.467, 82, 1560 MHz, 45 %, 62.53 W, Active
2026/09/22 12:43:42.493, 83, 1590 MHz, 44 %, 73.77 W, Active
2026/09/22 12:43:44.511, 82, 1425 MHz, 44 %, 59.63 W, Active
2026/09/22 12:43:46.531, 82, 1815 MHz, 44 %, 53.46 W, Active
2026/09/22 12:43:48.553, 82, 1125 MHz, 42 %, 58.38 W, Active
2026/09/22 12:43:50.578, 83, 1410 MHz, 64 %, 72.90 W, Active
2026/09/22 12:43:52.600, 83, 1425 MHz, 63 %, 71.86 W, Active
2026/09/22 12:43:54.621, 82, 1305 MHz, 63 %, 58.49 W, Active
2026/09/22 12:43:56.635, 83, 1320 MHz, 65 %, 76.43 W, Active
2026/09/22 12:43:58.659, 80, 1200 MHz, 16 %, 46.51 W, Not Active
2026/09/22 12:44:00.687, 77, 1065 MHz, 34 %, 43.45 W, Not Active
2026/09/22 12:44:02.721, 76, 1065 MHz, 38 %, 43.86 W, Not Active
2026/09/22 12:44:04.748, 75, 1140 MHz, 40 %, 45.38 W, Not Active
2026/09/22 12:44:06.780, 76, 1245 MHz, 40 %, 48.66 W, Not Active
2026/09/22 12:44:08.805, 77, 1485 MHz, 40 %, 59.09 W, Not Active
2026/09/22 12:44:10.836, 79, 1530 MHz, 39 %, 63.96 W, Not Active
2026/09/22 12:44:12.858, 81, 1605 MHz, 40 %, 70.01 W, Not Active
2026/09/22 12:44:14.895, 83, 1635 MHz, 41 %, 75.10 W, Active
2026/09/22 12:44:16.916, 83, 1575 MHz, 44 %, 72.88 W, Active
2026/09/22 12:44:18.929, 81, 1680 MHz, 2 %, 59.81 W, Not Active
2026/09/22 12:44:20.954, 71, 375 MHz, 11 %, 13.38 W, Not Active
2026/09/22 12:44:22.989, 69, 375 MHz, 13 %, 12.23 W, Not Active
2026/09/22 12:44:25.031, 68, 375 MHz, 13 %, 7.90 W, Not Active
2026/09/22 12:44:27.072, 67, 375 MHz, 18 %, 11.57 W, Not Active
2026/09/22 12:44:29.110, 66, 375 MHz, 16 %, 11.65 W, Not Active
