timestamp, temperature.gpu, clocks.current.graphics [MHz], utilization.gpu [%], power.draw [W], clocks_event_reasons.sw_thermal_slowdown
2026/09/22 13:05:57.833, 85, 1635 MHz, 25 %, 58.85 W, Not Active
2026/09/22 13:05:59.873, 86, 1860 MHz, 1 %, 81.59 W, Not Active
2026/09/22 13:06:01.919, 85, 1470 MHz, 84 %, 62.33 W, Active
2026/09/22 13:06:03.946, 86, 1860 MHz, 0 %, 77.14 W, Not Active
2026/09/22 13:06:05.987, 81, 810 MHz, 12 %, 40.42 W, Not Active
2026/09/22 13:06:08.030, 84, 1365 MHz, 48 %, 59.12 W, Not Active
2026/09/22 13:06:10.073, 83, 1290 MHz, 33 %, 48.74 W, Not Active
2026/09/22 13:06:12.122, 81, 1035 MHz, 34 %, 43.94 W, Not Active
2026/09/22 13:06:14.161, 81, 1155 MHz, 39 %, 49.01 W, Not Active
2026/09/22 13:06:16.206, 81, 1155 MHz, 39 %, 48.90 W, Not Active
2026/09/22 13:06:18.244, 81, 1125 MHz, 38 %, 48.21 W, Not Active
2026/09/22 13:06:20.281, 81, 1170 MHz, 39 %, 49.54 W, Not Active
2026/09/22 13:06:22.314, 81, 1185 MHz, 40 %, 50.37 W, Not Active
2026/09/22 13:06:24.337, 81, 1245 MHz, 40 %, 52.02 W, Not Active
2026/09/22 13:06:26.363, 82, 1260 MHz, 39 %, 53.89 W, Not Active
2026/09/22 13:06:28.402, 82, 1320 MHz, 39 %, 54.56 W, Not Active
2026/09/22 13:06:30.430, 82, 1290 MHz, 39 %, 53.92 W, Not Active
2026/09/22 13:06:32.458, 82, 1290 MHz, 39 %, 53.58 W, Not Active
2026/09/22 13:06:34.492, 82, 1320 MHz, 39 %, 54.87 W, Not Active
2026/09/22 13:06:36.524, 81, 1290 MHz, 39 %, 53.41 W, Not Active
2026/09/22 13:06:38.557, 81, 1305 MHz, 39 %, 53.84 W, Not Active
2026/09/22 13:06:40.593, 81, 1350 MHz, 39 %, 54.54 W, Not Active
2026/09/22 13:06:42.625, 81, 1305 MHz, 38 %, 53.74 W, Not Active
2026/09/22 13:06:44.645, 80, 1275 MHz, 39 %, 52.63 W, Not Active
2026/09/22 13:06:46.683, 80, 1305 MHz, 39 %, 52.44 W, Not Active
2026/09/22 13:06:48.714, 80, 1335 MHz, 39 %, 53.92 W, Not Active
2026/09/22 13:06:50.745, 80, 1335 MHz, 39 %, 54.15 W, Not Active
2026/09/22 13:06:52.776, 80, 1335 MHz, 39 %, 54.23 W, Not Active
2026/09/22 13:06:54.813, 80, 1350 MHz, 39 %, 55.19 W, Not Active
2026/09/22 13:06:56.837, 80, 1335 MHz, 39 %, 54.16 W, Not Active
2026/09/22 13:06:58.864, 80, 1350 MHz, 39 %, 55.18 W, Not Active
2026/09/22 13:07:00.889, 80, 1335 MHz, 39 %, 54.51 W, Not Active
2026/09/22 13:07:02.917, 81, 1440 MHz, 40 %, 58.10 W, Not Active
2026/09/22 13:07:04.952, 81, 1410 MHz, 38 %, 57.95 W, Not Active
2026/09/22 13:07:06.989, 81, 1395 MHz, 39 %, 57.30 W, Not Active
2026/09/22 13:07:09.019, 81, 1410 MHz, 39 %, 58.14 W, Not Active
2026/09/22 13:07:11.049, 81, 1425 MHz, 39 %, 57.75 W, Not Active
2026/09/22 13:07:13.081, 81, 1395 MHz, 39 %, 56.84 W, Not Active
2026/09/22 13:07:15.111, 81, 1395 MHz, 39 %, 56.43 W, Not Active
2026/09/22 13:07:17.143, 81, 1395 MHz, 39 %, 57.22 W, Not Active
2026/09/22 13:07:19.167, 81, 1380 MHz, 39 %, 56.56 W, Not Active
2026/09/22 13:07:21.204, 81, 1395 MHz, 39 %, 56.17 W, Not Active
2026/09/22 13:07:23.238, 80, 1365 MHz, 39 %, 56.37 W, Not Active
