timestamp, temperature.gpu, clocks.current.graphics [MHz], utilization.gpu [%], power.draw [W], clocks_event_reasons.sw_thermal_slowdown
2026/09/22 12:52:35.780, 83, 1560 MHz, 35 %, 53.81 W, Not Active
2026/09/22 12:52:37.814, 86, 1815 MHz, 53 %, 81.81 W, Active
2026/09/22 12:52:39.850, 83, 1575 MHz, 29 %, 53.99 W, Not Active
2026/09/22 12:52:41.886, 86, 1425 MHz, 47 %, 71.00 W, Active
2026/09/22 12:52:43.930, 81, 825 MHz, 6 %, 43.41 W, Not Active
2026/09/22 12:52:45.976, 83, 1380 MHz, 40 %, 56.76 W, Not Active
2026/09/22 12:52:48.019, 84, 1365 MHz, 39 %, 59.31 W, Not Active
2026/09/22 12:52:50.070, 85, 1470 MHz, 39 %, 65.03 W, Not Active
2026/09/22 12:52:52.121, 85, 1470 MHz, 41 %, 64.28 W, Not Active
2026/09/22 12:52:54.163, 85, 1425 MHz, 42 %, 61.45 W, Not Active
2026/09/22 12:52:56.189, 83, 1200 MHz, 53 %, 51.86 W, Active
2026/09/22 12:52:58.208, 84, 1290 MHz, 43 %, 51.94 W, Active
2026/09/22 12:53:00.239, 84, 1155 MHz, 45 %, 58.86 W, Active
2026/09/22 12:53:02.253, 84, 1425 MHz, 46 %, 55.31 W, Not Active
2026/09/22 12:53:04.285, 84, 1380 MHz, 46 %, 54.84 W, Active
2026/09/22 12:53:06.316, 85, 1470 MHz, 46 %, 63.81 W, Active
2026/09/22 12:53:08.338, 85, 1455 MHz, 47 %, 63.88 W, Active
2026/09/22 12:53:10.362, 85, 990 MHz, 48 %, 64.41 W, Active
2026/09/22 12:53:12.383, 85, 1050 MHz, 48 %, 64.50 W, Active
2026/09/22 12:53:14.405, 84, 1335 MHz, 48 %, 57.14 W, Active
2026/09/22 12:53:16.428, 84, 1440 MHz, 55 %, 62.35 W, Not Active
2026/09/22 12:53:18.457, 85, 1485 MHz, 47 %, 64.95 W, Active
2026/09/22 12:53:20.480, 84, 1350 MHz, 49 %, 56.29 W, Active
