PASS RuntimeDiagnosticsChecks: 7,092 ms
PASS FluidRoutingChecks: 244,521 ms
PASS WorldLitBatchingChecks: 5,371 ms
PASS IndustryMaterialVariantChecks: 447,759 ms
PASS ResourceTickChecks: 71,773 ms
PASS ChunkWorkPriorityChecks: 12,601 ms
PASS ControlPresetChecks: 16,261 ms
PASS PresentationViewCacheChecks: 11,729 ms
PASS ResidencyInvalidationChecks: 50,944 ms
PASS ItemInputContractChecks: 2,931 ms
PASS SaveCompatibilityChecks: 1479,232 ms
PASS DomainChecks: 5824,122 ms
PASS CraftingChecks: 616,673 ms
PASS PerformanceChecks: 4440,303 ms
PASS InventoryChecks: 5,729 ms
PASS ToolDurabilityChecks: 5,677 ms
PASS PortableStorageChecks: 4,179 ms
PASS TagReviewChecks: 21,526 ms
PASS FarmingChecks: 439,523 ms
PASS FishingChecks: 7,788 ms
PASS ChickenChecks: 4,956 ms
PASS FoodBalanceChecks: 166,612 ms
PASS CompostChecks: 15,517 ms
PASS BedChecks: 5,559 ms
PASS LightingChecks: 5,596 ms
PASS FluidChecks: 274,440 ms
PASS LavaChecks: 220,838 ms
PASS DayNightChecks: 3,049 ms
PASS AlphaPlaytestChecks: 4,077 ms
PASS AlphaWorldChecks: 126,872 ms
PASS FloaterChecks: 10,180 ms
PASS IndustryChecks: 2589,147 ms
PASS ElectricFurnaceChecks: 56,565 ms
PASS GridAllocationChecks: 82,235 ms
PASS BatteryChecks: 16,496 ms
PASS MultiblockChecks: 45,867 ms
PASS ConnectionChecks: 70,610 ms
PASS ConnectedPipeChecks: 143,667 ms
PASS ItemPipeChecks: 42,806 ms
PASS DoorChecks: 3,979 ms
PASS HandCrankChecks: 5,365 ms
PASS BridgeChecks: 2661,110 ms
PASS RangedPumpChecks: 52,294 ms
PASS CrateChecks: 181,487 ms
PASS CrateRoutingEdgeChecks: 3,866 ms
PASS RenewableChecks: 28,952 ms
PASS RenewablePowerChecks: 16,557 ms
PASS RenewableCompatibilityChecks: 1701,951 ms
