PASS RuntimeDiagnosticsChecks: 6,856 ms
PASS FluidRoutingChecks: 244,398 ms
PASS WorldLitBatchingChecks: 5,462 ms
PASS IndustryMaterialVariantChecks: 437,513 ms
PASS ResourceTickChecks: 73,755 ms
PASS ChunkWorkPriorityChecks: 12,944 ms
PASS ControlPresetChecks: 16,089 ms
PASS PresentationViewCacheChecks: 11,513 ms
PASS ResidencyInvalidationChecks: 48,555 ms
PASS ItemInputContractChecks: 2,889 ms
PASS SaveCompatibilityChecks: 1420,767 ms
PASS DomainChecks: 5780,171 ms
PASS CraftingChecks: 587,732 ms
PASS PerformanceChecks: 4691,132 ms
PASS InventoryChecks: 5,844 ms
PASS ToolDurabilityChecks: 6,240 ms
PASS PortableStorageChecks: 4,293 ms
PASS TagReviewChecks: 23,634 ms
PASS FarmingChecks: 448,274 ms
PASS FishingChecks: 8,892 ms
PASS ChickenChecks: 5,500 ms
PASS FoodBalanceChecks: 174,166 ms
PASS CompostChecks: 16,950 ms
PASS BedChecks: 5,841 ms
PASS LightingChecks: 6,936 ms
PASS FluidChecks: 287,908 ms
PASS LavaChecks: 219,048 ms
PASS DayNightChecks: 3,437 ms
PASS AlphaPlaytestChecks: 3,772 ms
PASS AlphaWorldChecks: 109,166 ms
PASS FloaterChecks: 4,210 ms
PASS IndustryChecks: 2461,813 ms
PASS ElectricFurnaceChecks: 57,690 ms
PASS GridAllocationChecks: 54,704 ms
PASS BatteryChecks: 17,050 ms
PASS MultiblockChecks: 51,918 ms
PASS ConnectionChecks: 96,349 ms
PASS ConnectedPipeChecks: 143,292 ms
PASS ItemPipeChecks: 43,525 ms
PASS DoorChecks: 3,719 ms
PASS HandCrankChecks: 4,974 ms
PASS BridgeChecks: 2621,273 ms
PASS RangedPumpChecks: 52,219 ms
PASS CrateChecks: 188,823 ms
PASS CrateRoutingEdgeChecks: 4,080 ms
PASS RenewableChecks: 17,307 ms
PASS RenewablePowerChecks: 3,785 ms
PASS RenewableCompatibilityChecks: 1854,200 ms
