PASS WorldLit state 0: max channel delta 0/255; changed pixels 0/65536; reference colours 2918
PASS WorldLit state 1: max channel delta 0/255; changed pixels 0/65536; reference colours 228
PASS WorldLit state 2: max channel delta 0/255; changed pixels 0/65536; reference colours 1578
PASS WorldLit state 3: max channel delta 0/255; changed pixels 0/65536; reference colours 1786
PASS WorldLit state 4: max channel delta 0/255; changed pixels 0/65536; reference colours 2209
PASS WorldLit state 5: max channel delta 0/255; changed pixels 0/65536; reference colours 347
PASS WorldLit state 6: max channel delta 0/255; changed pixels 0/65536; reference colours 1389
PASS WorldLit state 7: max channel delta 0/255; changed pixels 0/65536; reference colours 2679
PASS WorldLit state 8: max channel delta 0/255; changed pixels 0/65536; reference colours 226
PASS WorldLit state 9: max channel delta 0/255; changed pixels 0/65536; reference colours 173
PASS HeldTool state 0: max channel delta 0/255; changed pixels 0/65536; reference colours 728
PASS HeldTool state 1: max channel delta 0/255; changed pixels 0/65536; reference colours 86
PASS HeldTool state 2: max channel delta 0/255; changed pixels 0/65536; reference colours 1149
PASS HeldTool state 3: max channel delta 0/255; changed pixels 0/65536; reference colours 1158
PASS HeldTool state 4: max channel delta 0/255; changed pixels 0/65536; reference colours 1149
PASS HeldTool state 5: max channel delta 0/255; changed pixels 0/65536; reference colours 1149
PASS HeldTool state 6: max channel delta 0/255; changed pixels 0/65536; reference colours 1149
PASS HeldTool state 7: max channel delta 0/255; changed pixels 0/65536; reference colours 728
PASS HeldBlock state 0: max channel delta 0/255; changed pixels 0/65536; reference colours 408
PASS HeldBlock state 1: max channel delta 0/255; changed pixels 0/65536; reference colours 9
PASS HeldBlock state 2: max channel delta 0/255; changed pixels 0/65536; reference colours 437
PASS HeldBlock state 3: max channel delta 0/255; changed pixels 0/65536; reference colours 450
PASS HeldBlock state 4: max channel delta 0/255; changed pixels 0/65536; reference colours 437
PASS HeldBlock state 5: max channel delta 0/255; changed pixels 0/65536; reference colours 437
PASS HeldBlock state 6: max channel delta 0/255; changed pixels 0/65536; reference colours 437
PASS HeldBlock state 7: max channel delta 0/255; changed pixels 0/65536; reference colours 408
PASS ExplorerSkin state 0: max channel delta 0/255; changed pixels 0/65536; reference colours 388
PASS ExplorerSkin state 1: max channel delta 0/255; changed pixels 0/65536; reference colours 6
PASS ExplorerSkin state 2: max channel delta 0/255; changed pixels 0/65536; reference colours 175
PASS ExplorerSkin state 3: max channel delta 0/255; changed pixels 0/65536; reference colours 175
PASS ExplorerSkin state 4: max channel delta 0/255; changed pixels 0/65536; reference colours 753
PASS ExplorerSkin state 5: max channel delta 0/255; changed pixels 0/65536; reference colours 352
PASS ExplorerSkin state 6: max channel delta 0/255; changed pixels 0/65536; reference colours 175
PASS ExplorerSkin state 7: max channel delta 0/255; changed pixels 0/65536; reference colours 388
