timestamp, temperature.gpu, clocks.current.graphics [MHz], utilization.gpu [%], power.draw [W], clocks_event_reasons.sw_thermal_slowdown
2026/09/22 10:11:02.578, 53, 300 MHz, 0 %, 14.14 W, Not Active
2026/09/22 10:11:04.620, 58, 1935 MHz, 59 %, 58.84 W, Not Active
2026/09/22 10:11:06.658, 60, 1920 MHz, 22 %, 55.14 W, Not Active
2026/09/22 10:11:08.703, 61, 1920 MHz, 46 %, 55.45 W, Not Active
2026/09/22 10:11:10.735, 61, 1350 MHz, 25 %, 44.41 W, Not Active
2026/09/22 10:11:12.782, 61, 1395 MHz, 39 %, 46.32 W, Not Active
2026/09/22 10:11:14.819, 62, 1470 MHz, 40 %, 50.03 W, Not Active
2026/09/22 10:11:16.855, 64, 1590 MHz, 40 %, 55.31 W, Not Active
2026/09/22 10:11:18.900, 65, 1590 MHz, 39 %, 57.73 W, Not Active
2026/09/22 10:11:20.932, 67, 1665 MHz, 40 %, 61.89 W, Not Active
2026/09/22 10:11:22.966, 69, 1665 MHz, 39 %, 65.23 W, Not Active
2026/09/22 10:11:24.993, 71, 1755 MHz, 40 %, 74.85 W, Not Active
2026/09/22 10:11:27.023, 75, 1860 MHz, 40 %, 91.49 W, Not Active
2026/09/22 10:11:29.047, 80, 1860 MHz, 41 %, 102.29 W, Not Active
2026/09/22 10:11:31.076, 80, 1800 MHz, 41 %, 89.89 W, Active
2026/09/22 10:11:33.091, 80, 1755 MHz, 42 %, 86.45 W, Active
2026/09/22 10:11:35.117, 81, 1770 MHz, 41 %, 85.28 W, Active
2026/09/22 10:11:37.130, 81, 1725 MHz, 42 %, 84.01 W, Active
2026/09/22 10:11:39.148, 81, 1740 MHz, 42 %, 83.21 W, Active
2026/09/22 10:11:41.168, 81, 1710 MHz, 42 %, 83.01 W, Active
2026/09/22 10:11:43.190, 81, 1770 MHz, 42 %, 84.90 W, Active
2026/09/22 10:11:45.218, 81, 1755 MHz, 42 %, 81.81 W, Active
2026/09/22 10:11:47.236, 82, 1725 MHz, 42 %, 80.43 W, Active
2026/09/22 10:11:49.259, 81, 1650 MHz, 42 %, 72.12 W, Active
2026/09/22 10:11:51.285, 81, 1680 MHz, 42 %, 78.04 W, Active
2026/09/22 10:11:53.297, 82, 1710 MHz, 42 %, 83.21 W, Active
2026/09/22 10:11:55.314, 81, 1680 MHz, 42 %, 76.58 W, Active
2026/09/22 10:11:57.332, 82, 1650 MHz, 42 %, 77.61 W, Active
2026/09/22 10:11:59.350, 82, 1710 MHz, 42 %, 77.03 W, Active
2026/09/22 10:12:01.365, 82, 1635 MHz, 42 %, 76.70 W, Active
2026/09/22 10:12:03.384, 82, 1680 MHz, 42 %, 77.03 W, Active
2026/09/22 10:12:05.400, 82, 1650 MHz, 43 %, 77.79 W, Active
2026/09/22 10:12:07.430, 83, 1695 MHz, 43 %, 82.54 W, Active
2026/09/22 10:12:09.449, 81, 1530 MHz, 42 %, 68.00 W, Active
2026/09/22 10:12:11.467, 82, 1665 MHz, 43 %, 73.37 W, Active
2026/09/22 10:12:13.491, 81, 1560 MHz, 41 %, 63.53 W, Active
2026/09/22 10:12:15.515, 82, 1725 MHz, 42 %, 78.03 W, Active
2026/09/22 10:12:17.538, 82, 1470 MHz, 43 %, 72.01 W, Active
2026/09/22 10:12:19.552, 83, 1545 MHz, 43 %, 78.17 W, Active
2026/09/22 10:12:21.570, 81, 1470 MHz, 38 %, 63.90 W, Active
2026/09/22 10:12:23.591, 82, 1635 MHz, 50 %, 76.64 W, Active
2026/09/22 10:12:25.611, 83, 1620 MHz, 49 %, 74.83 W, Active
2026/09/22 10:12:27.630, 82, 1575 MHz, 50 %, 74.08 W, Active
2026/09/22 10:12:29.649, 83, 1695 MHz, 49 %, 78.70 W, Active
2026/09/22 10:12:31.672, 82, 1260 MHz, 44 %, 67.58 W, Active
2026/09/22 10:12:33.704, 83, 1635 MHz, 43 %, 76.28 W, Active
2026/09/22 10:12:35.728, 81, 1440 MHz, 43 %, 61.22 W, Active
2026/09/22 10:12:37.754, 82, 1545 MHz, 43 %, 66.68 W, Active
2026/09/22 10:12:39.773, 83, 1575 MHz, 43 %, 73.72 W, Active
2026/09/22 10:12:41.786, 83, 1590 MHz, 43 %, 72.20 W, Active
2026/09/22 10:12:43.815, 83, 1575 MHz, 44 %, 73.17 W, Active
2026/09/22 10:12:45.831, 81, 1800 MHz, 44 %, 57.41 W, Active
2026/09/22 10:12:47.846, 83, 1455 MHz, 55 %, 78.05 W, Active
2026/09/22 10:12:49.868, 82, 1410 MHz, 67 %, 65.77 W, Active
2026/09/22 10:12:51.884, 83, 1425 MHz, 68 %, 73.08 W, Active
2026/09/22 10:12:53.905, 83, 1410 MHz, 66 %, 72.79 W, Active
2026/09/22 10:12:55.922, 82, 1080 MHz, 65 %, 60.38 W, Active
2026/09/22 10:12:57.942, 81, 1245 MHz, 18 %, 47.94 W, Not Active
2026/09/22 10:12:59.975, 76, 1080 MHz, 34 %, 41.93 W, Not Active
2026/09/22 10:13:02.007, 75, 1110 MHz, 38 %, 43.49 W, Not Active
2026/09/22 10:13:04.036, 75, 1170 MHz, 39 %, 45.89 W, Not Active
2026/09/22 10:13:06.065, 75, 1230 MHz, 40 %, 46.87 W, Not Active
2026/09/22 10:13:08.094, 77, 1455 MHz, 40 %, 56.78 W, Not Active
2026/09/22 10:13:10.130, 78, 1515 MHz, 40 %, 63.06 W, Not Active
2026/09/22 10:13:12.158, 80, 1590 MHz, 39 %, 67.28 W, Not Active
2026/09/22 10:13:14.174, 84, 1710 MHz, 40 %, 82.11 W, Not Active
2026/09/22 10:13:16.201, 84, 1725 MHz, 42 %, 83.79 W, Not Active
2026/09/22 10:13:18.228, 81, 1650 MHz, 44 %, 55.33 W, Not Active
2026/09/22 10:13:20.250, 74, 375 MHz, 4 %, 13.11 W, Not Active
2026/09/22 10:13:22.291, 70, 375 MHz, 10 %, 8.24 W, Not Active
2026/09/22 10:13:24.325, 68, 375 MHz, 13 %, 10.17 W, Not Active
2026/09/22 10:13:26.363, 67, 300 MHz, 19 %, 9.24 W, Not Active
2026/09/22 10:13:28.402, 66, 300 MHz, 22 %, 13.24 W, Not Active
2026/09/22 10:13:30.439, 66, 300 MHz, 28 %, 13.18 W, Not Active
2026/09/22 10:13:32.478, 65, 375 MHz, 11 %, 10.81 W, Not Active
2026/09/22 10:13:34.513, 64, 300 MHz, 9 %, 8.51 W, Not Active
2026/09/22 10:13:36.550, 63, 300 MHz, 9 %, 6.97 W, Not Active
2026/09/22 10:13:38.583, 63, 300 MHz, 8 %, 6.84 W, Not Active
2026/09/22 10:13:40.624, 63, 300 MHz, 4 %, 6.83 W, Not Active
2026/09/22 10:13:42.661, 62, 300 MHz, 4 %, 7.02 W, Not Active
2026/09/22 10:13:44.698, 62, 300 MHz, 5 %, 6.70 W, Not Active
2026/09/22 10:13:46.729, 61, 300 MHz, 4 %, 6.70 W, Not Active
2026/09/22 10:13:48.771, 61, 300 MHz, 5 %, 6.53 W, Not Active
2026/09/22 10:13:50.800, 61, 300 MHz, 5 %, 6.47 W, Not Active
2026/09/22 10:13:52.840, 61, 300 MHz, 5 %, 6.50 W, Not Active
2026/09/22 10:13:54.880, 61, 300 MHz, 5 %, 11.86 W, Not Active
2026/09/22 10:13:56.912, 62, 1005 MHz, 9 %, 31.62 W, Not Active
2026/09/22 10:13:58.946, 77, 1875 MHz, 53 %, 104.87 W, Not Active
2026/09/22 10:14:00.979, 79, 1650 MHz, 84 %, 91.02 W, Active
2026/09/22 10:14:02.999, 80, 1470 MHz, 97 %, 83.89 W, Active
2026/09/22 10:14:05.018, 80, 1815 MHz, 87 %, 70.40 W, Active
2026/09/22 10:14:07.037, 82, 1455 MHz, 98 %, 89.43 W, Active
2026/09/22 10:14:09.059, 82, 1470 MHz, 99 %, 87.48 W, Active
2026/09/22 10:14:11.082, 81, 1245 MHz, 98 %, 74.10 W, Active
2026/09/22 10:14:13.100, 83, 1440 MHz, 94 %, 84.03 W, Active
2026/09/22 10:14:15.117, 83, 1710 MHz, 95 %, 93.67 W, Not Active
2026/09/22 10:14:17.135, 82, 1620 MHz, 95 %, 75.03 W, Not Active
2026/09/22 10:14:19.154, 82, 1290 MHz, 99 %, 70.54 W, Active
2026/09/22 10:14:21.174, 83, 1365 MHz, 97 %, 78.39 W, Active
2026/09/22 10:14:23.202, 83, 1275 MHz, 97 %, 75.97 W, Active
2026/09/22 10:14:25.222, 84, 1320 MHz, 97 %, 76.02 W, Active
2026/09/22 10:14:27.249, 82, 1215 MHz, 96 %, 65.92 W, Active
2026/09/22 10:14:29.269, 85, 1635 MHz, 97 %, 105.30 W, Not Active
2026/09/22 10:14:31.299, 83, 1290 MHz, 98 %, 72.55 W, Active
2026/09/22 10:14:33.324, 83, 1230 MHz, 98 %, 71.28 W, Active
2026/09/22 10:14:35.339, 84, 1215 MHz, 99 %, 71.31 W, Active
2026/09/22 10:14:37.360, 84, 1215 MHz, 94 %, 71.20 W, Active
2026/09/22 10:14:39.378, 84, 1230 MHz, 98 %, 71.69 W, Active
2026/09/22 10:14:41.395, 86, 1560 MHz, 99 %, 80.38 W, Not Active
2026/09/22 10:14:43.414, 82, 555 MHz, 99 %, 65.50 W, Active
2026/09/22 10:14:45.438, 83, 1125 MHz, 98 %, 61.22 W, Active
2026/09/22 10:14:47.456, 83, 1050 MHz, 98 %, 55.83 W, Active
2026/09/22 10:14:49.471, 84, 870 MHz, 99 %, 78.00 W, Active
2026/09/22 10:14:51.499, 84, 1260 MHz, 99 %, 73.57 W, Active
2026/09/22 10:14:53.513, 82, 900 MHz, 97 %, 52.60 W, Active
2026/09/22 10:14:55.548, 84, 1185 MHz, 99 %, 70.83 W, Active
2026/09/22 10:14:57.562, 84, 1200 MHz, 98 %, 68.48 W, Active
2026/09/22 10:14:59.576, 85, 1185 MHz, 95 %, 69.56 W, Active
2026/09/22 10:15:01.601, 84, 480 MHz, 99 %, 68.54 W, Active
2026/09/22 10:15:03.629, 83, 1005 MHz, 100 %, 53.87 W, Active
2026/09/22 10:15:05.657, 85, 1200 MHz, 98 %, 70.83 W, Active
2026/09/22 10:15:07.676, 84, 1275 MHz, 32 %, 66.23 W, Active
2026/09/22 10:15:09.694, 87, 1410 MHz, 98 %, 85.88 W, Active
2026/09/22 10:15:11.711, 84, 1125 MHz, 97 %, 64.62 W, Active
2026/09/22 10:15:13.724, 85, 1170 MHz, 97 %, 68.44 W, Active
2026/09/22 10:15:15.749, 83, 300 MHz, 96 %, 49.75 W, Active
2026/09/22 10:15:17.772, 83, 300 MHz, 97 %, 48.58 W, Active
2026/09/22 10:15:19.796, 84, 300 MHz, 98 %, 50.38 W, Active
2026/09/22 10:15:21.815, 84, 630 MHz, 96 %, 49.72 W, Active
2026/09/22 10:15:23.842, 85, 1200 MHz, 98 %, 68.55 W, Active
2026/09/22 10:15:25.863, 83, 750 MHz, 97 %, 54.08 W, Active
2026/09/22 10:15:27.889, 85, 1170 MHz, 95 %, 68.90 W, Active
2026/09/22 10:15:29.907, 87, 1605 MHz, 97 %, 106.12 W, Not Active
2026/09/22 10:15:31.929, 85, 1140 MHz, 97 %, 69.35 W, Active
2026/09/22 10:15:33.952, 85, 1140 MHz, 95 %, 69.90 W, Active
2026/09/22 10:15:35.966, 85, 480 MHz, 97 %, 70.04 W, Active
2026/09/22 10:15:37.991, 85, 810 MHz, 90 %, 73.43 W, Active
2026/09/22 10:15:40.011, 83, 660 MHz, 97 %, 53.73 W, Active
2026/09/22 10:15:42.029, 85, 1185 MHz, 97 %, 72.65 W, Active
2026/09/22 10:15:44.050, 84, 1080 MHz, 97 %, 61.82 W, Active
2026/09/22 10:15:46.080, 85, 1125 MHz, 97 %, 67.32 W, Active
2026/09/22 10:15:48.101, 85, 1155 MHz, 93 %, 61.29 W, Active
2026/09/22 10:15:50.125, 85, 1095 MHz, 96 %, 64.67 W, Active
2026/09/22 10:15:52.145, 84, 1080 MHz, 98 %, 65.58 W, Active
2026/09/22 10:15:54.162, 85, 1110 MHz, 97 %, 64.78 W, Active
2026/09/22 10:15:56.183, 85, 1080 MHz, 97 %, 65.21 W, Active
2026/09/22 10:15:58.198, 85, 1095 MHz, 93 %, 62.09 W, Active
2026/09/22 10:16:00.220, 85, 1095 MHz, 97 %, 63.97 W, Active
2026/09/22 10:16:02.245, 85, 1080 MHz, 98 %, 63.78 W, Active
2026/09/22 10:16:04.264, 85, 1080 MHz, 97 %, 64.41 W, Active
2026/09/22 10:16:06.277, 85, 1080 MHz, 99 %, 64.21 W, Active
2026/09/22 10:16:08.289, 85, 1110 MHz, 99 %, 63.69 W, Active
2026/09/22 10:16:10.310, 85, 1080 MHz, 97 %, 64.21 W, Active
2026/09/22 10:16:12.330, 85, 1080 MHz, 98 %, 64.06 W, Active
2026/09/22 10:16:14.359, 85, 1080 MHz, 97 %, 63.46 W, Active
2026/09/22 10:16:16.384, 85, 1065 MHz, 97 %, 64.59 W, Active
2026/09/22 10:16:18.409, 85, 1110 MHz, 98 %, 63.21 W, Active
2026/09/22 10:16:20.427, 85, 1125 MHz, 97 %, 64.25 W, Active
2026/09/22 10:16:22.452, 85, 1065 MHz, 95 %, 63.78 W, Active
2026/09/22 10:16:24.473, 85, 1095 MHz, 96 %, 64.24 W, Active
2026/09/22 10:16:26.489, 85, 1080 MHz, 99 %, 65.30 W, Active
2026/09/22 10:16:28.514, 84, 300 MHz, 96 %, 42.56 W, Active
2026/09/22 10:16:30.536, 85, 1215 MHz, 95 %, 68.25 W, Active
2026/09/22 10:16:32.560, 85, 1110 MHz, 98 %, 64.89 W, Active
2026/09/22 10:16:34.575, 84, 405 MHz, 96 %, 58.90 W, Active
2026/09/22 10:16:36.592, 82, 300 MHz, 98 %, 41.42 W, Active
2026/09/22 10:16:38.722, 82, 300 MHz, 98 %, 41.31 W, Active
2026/09/22 10:16:40.743, 82, 1005 MHz, 97 %, 41.02 W, Not Active
2026/09/22 10:16:42.865, 82, 1005 MHz, 97 %, 41.14 W, Not Active
2026/09/22 10:16:44.908, 82, 1005 MHz, 98 %, 41.17 W, Not Active
2026/09/22 10:16:46.968, 82, 1005 MHz, 93 %, 41.13 W, Not Active
2026/09/22 10:16:49.020, 82, 1005 MHz, 98 %, 41.07 W, Not Active
2026/09/22 10:16:51.057, 82, 1005 MHz, 97 %, 40.92 W, Not Active
2026/09/22 10:16:53.117, 82, 1005 MHz, 98 %, 41.19 W, Not Active
2026/09/22 10:16:55.161, 82, 1005 MHz, 97 %, 41.12 W, Not Active
2026/09/22 10:16:57.196, 82, 1005 MHz, 98 %, 41.11 W, Not Active
2026/09/22 10:16:59.237, 82, 1005 MHz, 90 %, 41.06 W, Not Active
2026/09/22 10:17:01.306, 82, 1005 MHz, 96 %, 41.10 W, Not Active
2026/09/22 10:17:03.344, 82, 1005 MHz, 97 %, 41.17 W, Not Active
2026/09/22 10:17:05.389, 82, 300 MHz, 98 %, 40.68 W, Active
2026/09/22 10:17:07.417, 82, 1005 MHz, 97 %, 41.15 W, Not Active
2026/09/22 10:17:09.486, 82, 1005 MHz, 98 %, 41.12 W, Not Active
2026/09/22 10:17:11.557, 82, 1005 MHz, 98 %, 41.09 W, Not Active
2026/09/22 10:17:13.583, 82, 1005 MHz, 98 %, 41.20 W, Not Active
2026/09/22 10:17:15.657, 83, 1530 MHz, 97 %, 52.80 W, Not Active
2026/09/22 10:17:17.673, 86, 300 MHz, 98 %, 74.54 W, Active
2026/09/22 10:17:19.705, 86, 360 MHz, 98 %, 56.54 W, Active
2026/09/22 10:17:21.728, 83, 300 MHz, 96 %, 41.91 W, Active
2026/09/22 10:17:23.751, 83, 735 MHz, 96 %, 50.87 W, Active
