200.fbx | triangles=180 | bounds=Center: (0.00, 0.08, 0.02), Extents: (0.22, 0.08, 0.20) | renderers=1
201.fbx | triangles=180 | bounds=Center: (0.00, 0.17, 0.02), Extents: (0.24, 0.17, 0.22) | renderers=1
202.fbx | triangles=1140 | bounds=Center: (0.00, 0.31, 0.03), Extents: (0.27, 0.31, 0.24) | renderers=1
203.fbx | triangles=1140 | bounds=Center: (0.00, 0.40, 0.03), Extents: (0.29, 0.40, 0.26) | renderers=1
204.fbx | triangles=132 | bounds=Center: (-0.03, 0.07, 0.04), Extents: (0.19, 0.07, 0.18) | renderers=1
205.fbx | triangles=132 | bounds=Center: (-0.03, 0.15, 0.04), Extents: (0.21, 0.15, 0.20) | renderers=1
206.fbx | triangles=132 | bounds=Center: (-0.04, 0.23, 0.04), Extents: (0.23, 0.23, 0.23) | renderers=1
207.fbx | triangles=564 | bounds=Center: (-0.04, 0.32, 0.05), Extents: (0.26, 0.32, 0.25) | renderers=1
208.fbx | triangles=56 | bounds=Center: (0.00, 0.06, 0.00), Extents: (0.13, 0.02, 0.13) | renderers=1
209.fbx | triangles=56 | bounds=Center: (0.00, 0.06, 0.00), Extents: (0.17, 0.03, 0.17) | renderers=1
210.fbx | triangles=56 | bounds=Center: (0.00, 0.07, 0.00), Extents: (0.22, 0.04, 0.22) | renderers=1
211.fbx | triangles=104 | bounds=Center: (0.00, 0.03, 0.00), Extents: (0.26, 0.09, 0.26) | renderers=1
212.fbx | triangles=132 | bounds=Center: (-0.03, 0.07, 0.04), Extents: (0.19, 0.07, 0.18) | renderers=1
213.fbx | triangles=132 | bounds=Center: (-0.03, 0.15, 0.04), Extents: (0.21, 0.15, 0.20) | renderers=1
214.fbx | triangles=132 | bounds=Center: (-0.04, 0.23, 0.04), Extents: (0.23, 0.23, 0.23) | renderers=1
215.fbx | triangles=564 | bounds=Center: (-0.04, 0.31, 0.05), Extents: (0.26, 0.31, 0.25) | renderers=1
216.fbx | triangles=204 | bounds=Center: (0.01, 0.17, 0.03), Extents: (0.27, 0.17, 0.27) | renderers=1
220.fbx | triangles=432 | bounds=Center: (0.00, 0.06, 0.00), Extents: (0.28, 0.07, 0.16) | renderers=1
221.fbx | triangles=432 | bounds=Center: (0.00, 0.06, 0.00), Extents: (0.28, 0.07, 0.16) | renderers=1
222.fbx | triangles=432 | bounds=Center: (0.00, 0.06, 0.00), Extents: (0.28, 0.07, 0.16) | renderers=1
223.fbx | triangles=180 | bounds=Center: (0.01, 0.05, -0.01), Extents: (0.37, 0.03, 0.13) | renderers=1
224.fbx | triangles=788 | bounds=Center: (-0.06, 0.09, 0.00), Extents: (0.34, 0.08, 0.28) | renderers=1
225.fbx | triangles=216 | bounds=Center: (0.00, 0.09, 0.04), Extents: (0.35, 0.08, 0.28) | renderers=1
226.fbx | triangles=432 | bounds=Center: (0.00, 0.06, 0.00), Extents: (0.28, 0.07, 0.16) | renderers=1
227.fbx | triangles=76 | bounds=Center: (0.00, 0.32, 0.00), Extents: (0.16, 0.31, 0.15) | renderers=1
228.fbx | triangles=432 | bounds=Center: (0.00, 0.06, 0.00), Extents: (0.28, 0.07, 0.16) | renderers=1
229.fbx | triangles=344 | bounds=Center: (0.00, 0.15, 0.00), Extents: (0.26, 0.15, 0.22) | renderers=1
230.fbx | triangles=136 | bounds=Center: (0.02, 0.15, -0.03), Extents: (0.35, 0.15, 0.21) | renderers=1
231.fbx | triangles=200 | bounds=Center: (0.00, 0.17, 0.00), Extents: (0.43, 0.18, 0.23) | renderers=1
232.fbx | triangles=76 | bounds=Center: (0.00, 0.32, 0.00), Extents: (0.16, 0.31, 0.15) | renderers=1
233.fbx | triangles=600 | bounds=Center: (0.00, 0.10, 0.00), Extents: (0.34, 0.16, 0.32) | renderers=1
234.fbx | triangles=136 | bounds=Center: (0.02, 0.15, -0.03), Extents: (0.35, 0.15, 0.21) | renderers=1
235.fbx | triangles=600 | bounds=Center: (0.00, 0.10, 0.00), Extents: (0.34, 0.16, 0.32) | renderers=1
cooker.prefab | triangles=1616 | bounds=Center: (0.50, 0.50, 0.49), Extents: (0.46, 0.50, 0.44) | renderers=2
electric_cooker.prefab | triangles=1424 | bounds=Center: (0.50, 0.50, 0.51), Extents: (0.46, 0.50, 0.46) | renderers=2
