workload,item,food,saturation,seconds,meals_before,meals_after,min_food_after,mean_repeat_interval_seconds
base,rivet:potato,1,0,3600,51,51,19,70.5
base,rivet:baked_potato,5,2,3600,10,7,15,492.3
base,rivet:apple,4,0,3600,12,12,16,281.6
base,rivet:carrot,2,0,3600,25,25,18,140.9
base,rivet:berries,1,0,3600,51,51,19,70.5
base,rivet:mushroom,1,0,3600,51,51,19,70.5
base,rivet:bread,7,6,3600,7,4,13,918.0
base,rivet:roast_carrot,5,2,3600,10,7,15,492.3
base,rivet:vegetable_stew,12,12,3600,4,2,8,1687.0
base,rivet:cooked_mushroom,4,2,3600,12,8,16,423.9
base,rivet:fruit_porridge,9,8,3600,5,3,11,1198.5
base,rivet:raw_fish,2,0,3600,25,25,18,140.9
base,rivet:cooked_fish,6,4,3600,8,5,14,704.8
base,rivet:fish_stew,12,12,3600,4,2,8,1687.0
base,rivet:raw_chicken,2,0,3600,25,25,18,140.9
base,rivet:cooked_chicken,6,4,3600,8,5,14,704.8
base,rivet:cooked_egg,4,2,3600,12,8,16,423.9
base,rivet:chicken_stew,12,12,3600,4,2,8,1687.0
expedition,rivet:potato,1,0,3600,132,132,19,27.1
expedition,rivet:baked_potato,5,2,3600,26,19,15,190.8
expedition,rivet:apple,4,0,3600,33,33,16,108.8
expedition,rivet:carrot,2,0,3600,66,66,18,54.5
expedition,rivet:berries,1,0,3600,132,132,19,27.1
expedition,rivet:mushroom,1,0,3600,132,132,19,27.1
expedition,rivet:bread,7,6,3600,18,10,13,355.2
expedition,rivet:roast_carrot,5,2,3600,26,19,15,190.8
expedition,rivet:vegetable_stew,12,12,3600,11,6,8,649.6
expedition,rivet:cooked_mushroom,4,2,3600,33,22,16,163.5
expedition,rivet:fruit_porridge,9,8,3600,14,8,11,463.6
expedition,rivet:raw_fish,2,0,3600,66,66,18,54.5
expedition,rivet:cooked_fish,6,4,3600,22,13,14,272.9
expedition,rivet:fish_stew,12,12,3600,11,6,8,649.6
expedition,rivet:raw_chicken,2,0,3600,66,66,18,54.5
expedition,rivet:cooked_chicken,6,4,3600,22,13,14,272.9
expedition,rivet:cooked_egg,4,2,3600,33,22,16,163.5
expedition,rivet:chicken_stew,12,12,3600,11,6,8,649.6
sprint,rivet:potato,1,0,3600,465,465,19,7.7
sprint,rivet:baked_potato,5,2,3600,93,66,15,54.2
sprint,rivet:apple,4,0,3600,116,116,16,31.0
sprint,rivet:carrot,2,0,3600,232,232,18,15.5
sprint,rivet:berries,1,0,3600,465,465,19,7.7
sprint,rivet:mushroom,1,0,3600,465,465,19,7.7
sprint,rivet:bread,7,6,3600,66,36,13,100.6
sprint,rivet:roast_carrot,5,2,3600,93,66,15,54.2
sprint,rivet:vegetable_stew,12,12,3600,38,19,8,185.8
sprint,rivet:cooked_mushroom,4,2,3600,116,77,16,46.4
sprint,rivet:fruit_porridge,9,8,3600,51,27,11,131.6
sprint,rivet:raw_fish,2,0,3600,232,232,18,15.5
sprint,rivet:cooked_fish,6,4,3600,77,46,14,77.4
sprint,rivet:fish_stew,12,12,3600,38,19,8,185.8
sprint,rivet:raw_chicken,2,0,3600,232,232,18,15.5
sprint,rivet:cooked_chicken,6,4,3600,77,46,14,77.4
sprint,rivet:cooked_egg,4,2,3600,116,77,16,46.4
sprint,rivet:chicken_stew,12,12,3600,38,19,8,185.8
