active_seconds,food,saturation,exhaustion,walked_metres
0,20,8,1.71728515625,0.00
60,20,7,0.605204170718787,70.68
120,20,7,3.5029872059822,142.68
180,20,6,2.40066067747772,214.66
240,20,5,1.29839181512594,286.65
300,20,4,0.196118641346683,358.64
360,20,4,3.09388333052396,430.63
420,20,3,1.9916056998074,502.62
480,20,2,0.88932222187519,574.60
540,20,2,3.78695142507553,646.58
600,20,1,2.68493233203888,718.60
660,20,0,1.58290926352143,790.62
720,19,0,0.480856019705532,862.64
780,19,0,3.37902232185006,934.69
