active_seconds,food,saturation,exhaustion,walked_metres
0,20,3,1.71728515625,0.00
60,20,2,0.60520417071878718,70.68
120,20,2,3.5029872059822003,142.68
180,20,1,2.4006606774777204,214.66
240,20,0,1.2983918151259406,286.65
300,19,0,0.19611864134668355,358.64
360,19,0,3.0938833305239606,430.63
420,18,0,1.9916056998074012,502.62
480,17,0,0.889322221875191,574.60
540,17,0,3.786951425075531,646.58
600,16,0,2.6849323320388807,718.60
660,15,0,1.5829092635214304,790.62
720,14,0,0.48085601970553249,862.64
780,14,0,3.3790223218500604,934.69
