Machinist's Bench: 1100 triangles; 1 renderers; bounds Center: (0.50, 0.48, 0.50), Extents: (0.47, 0.47, 0.44); root scale (1.00, 1.00, 1.00), rotation (0.00, 0.00, 0.00); first child (0.50, 0.07, 0.50), scale (1.00, 1.00, 1.00)
Signal Wire: 440 triangles; 5 renderers; bounds Center: (0.50, 0.03, 0.50), Extents: (0.49, 0.03, 0.49); root scale (1.00, 1.00, 1.00), rotation (0.00, 0.00, 0.00); first child (0.75, 0.04, 0.50), scale (1.00, 1.00, 1.00)
Signal Conduit: 2328 triangles; 7 renderers; bounds Center: (0.50, 0.48, 0.50), Extents: (0.49, 0.48, 0.49); root scale (1.00, 1.00, 1.00), rotation (0.00, 0.00, 0.00); first child (0.77, 0.48, 0.50), scale (1.00, 1.00, 1.00)
Power Cable: 2064 triangles; 7 renderers; bounds Center: (0.50, 0.48, 0.50), Extents: (0.49, 0.48, 0.49); root scale (1.00, 1.00, 1.00), rotation (0.00, 0.00, 0.00); first child (0.77, 0.48, 0.50), scale (1.00, 1.00, 1.00)
Item Pipe: 2064 triangles; 7 renderers; bounds Center: (0.50, 0.48, 0.50), Extents: (0.49, 0.48, 0.49); root scale (1.00, 1.00, 1.00), rotation (0.00, 0.00, 0.00); first child (0.77, 0.48, 0.50), scale (1.00, 1.00, 1.00)
Fluid Pipe: 2064 triangles; 7 renderers; bounds Center: (0.50, 0.48, 0.50), Extents: (0.49, 0.48, 0.49); root scale (1.00, 1.00, 1.00), rotation (0.00, 0.00, 0.00); first child (0.77, 0.48, 0.50), scale (1.00, 1.00, 1.00)
Lever: 604 triangles; 2 renderers; bounds Center: (0.50, 0.31, 0.50), Extents: (0.26, 0.31, 0.24); root scale (1.00, 1.00, 1.00), rotation (0.00, 0.00, 0.00); first child (0.50, 0.06, 0.50), scale (1.00, 1.00, 1.00)
Button: 448 triangles; 2 renderers; bounds Center: (0.50, 0.16, 0.50), Extents: (0.26, 0.16, 0.24); root scale (1.00, 1.00, 1.00), rotation (0.00, 0.00, 0.00); first child (0.50, 0.06, 0.50), scale (1.00, 1.00, 1.00)
Signal Relay: 676 triangles; 1 renderers; bounds Center: (0.50, 0.22, 0.50), Extents: (0.26, 0.21, 0.35); root scale (1.00, 1.00, 1.00), rotation (0.00, 0.00, 0.00); first child (0.50, 0.06, 0.50), scale (1.00, 1.00, 1.00)
Signal Indicator: 704 triangles; 1 renderers; bounds Center: (0.50, 0.19, 0.50), Extents: (0.26, 0.19, 0.24); root scale (1.00, 1.00, 1.00), rotation (0.00, 0.00, 0.00); first child (0.50, 0.06, 0.50), scale (1.00, 1.00, 1.00)
Workshop Hatch: 464 triangles; 2 renderers; bounds Center: (0.50, 0.50, 0.28), Extents: (0.45, 0.49, 0.28); root scale (1.00, 1.00, 1.00), rotation (0.00, 0.00, 0.00); first child (0.10, 0.50, 0.48), scale (1.00, 1.00, 1.00)
