phase,counter,unit,samples,median,p95,max
Raw profiler units are retained; zero or missing GPU counters do not establish GPU cost.
idle inventory,Main Thread,TimeNanoseconds,120,11098200,11111100,11306000
idle inventory,Profiler.CollectUICanvasStats,TimeNanoseconds,120,200,700,900
idle inventory,GC.Alloc,TimeNanoseconds,120,400,1400,7700
idle inventory,Canvas.RenderSubBatch,TimeNanoseconds,120,0,0,0
idle inventory,Canvas.PrepareBatches,TimeNanoseconds,120,0,0,0
idle inventory,Canvas.GeometryJob,TimeNanoseconds,120,0,0,0
idle inventory,Canvas.PrepareBatchesJob,TimeNanoseconds,120,0,0,0
idle inventory,Canvas.SortJob,TimeNanoseconds,120,0,0,0
idle inventory,Canvas.CombineInstructionsJob,TimeNanoseconds,120,0,0,0
idle inventory,Canvas.SplitInstructionsJob,TimeNanoseconds,120,0,0,0
idle inventory,Canvas.Sort,TimeNanoseconds,120,0,0,0
idle inventory,CanvasRenderer.SyncClipRect,TimeNanoseconds,120,0,0,0
idle inventory,CanvasRenderer.SyncWorldRect,TimeNanoseconds,120,0,0,0
idle inventory,CanvasRenderer.SyncTransform,TimeNanoseconds,120,0,0,0
idle inventory,Canvas.OnAllAssetImport,TimeNanoseconds,120,0,0,0
idle inventory,Canvas.BuildBatch,TimeNanoseconds,120,0,0,0
idle inventory,Canvas.RenderOverlays,TimeNanoseconds,120,397200,647200,857100
idle inventory,GPU Frame Time,TimeNanoseconds,120,3400192,4181759,4847872
idle inventory,RivetReach.UI.Rebuild,TimeNanoseconds,120,0,0,0
idle inventory,RivetReach.UI.SlotInput,TimeNanoseconds,120,0,0,0
idle inventory,RivetReach.UI.RefreshSlots,TimeNanoseconds,120,0,0,0
idle inventory,RivetReach.UI.BuildInventoryShell,TimeNanoseconds,120,0,0,0
idle inventory,RivetReach.UI.RecipeView,TimeNanoseconds,120,0,0,0
idle inventory,RivetReach.UI.RecipeFill,TimeNanoseconds,120,0,0,0
idle inventory,RivetReach.UI.HideScreen,TimeNanoseconds,120,0,0,0
idle inventory,RivetReach.UI.BindStation,TimeNanoseconds,120,0,0,0
idle inventory,RivetReach.UI.RefreshBinding,TimeNanoseconds,120,0,0,0
idle inventory,RivetReach.UI.CreateScreen,TimeNanoseconds,120,0,0,0
idle inventory,EarlyUpdate.UpdateCanvasRectTransform,TimeNanoseconds,120,10000,16000,25300
idle inventory,PostLateUpdate.PlayerUpdateCanvases,TimeNanoseconds,120,21500,33600,43600
idle inventory,UIEvents.UpdateCanvasRectTransform,TimeNanoseconds,120,6900,9200,22900
idle inventory,UIEvents.AlignCanvasRectTransformWithCamera,TimeNanoseconds,120,100,100,600
idle inventory,UIEvents.WillRenderCanvases,TimeNanoseconds,120,13900,20200,28000
idle inventory,PostLateUpdate.PlayerEmitCanvasGeometry,TimeNanoseconds,120,1500,2100,16600
idle inventory,UIEvents.CanvasManagerEmitOffScreenGeometry,TimeNanoseconds,120,900,1500,16200
idle inventory,UIEvents.CanvasmanagerEmitOnScreenGeometry,TimeNanoseconds,120,200,500,900
idle inventory,UIEvents.CanvasManagerRenderOverlays,TimeNanoseconds,120,46800,73600,89600
craft every frame,Main Thread,TimeNanoseconds,120,11098800,11139000,11744000
craft every frame,Profiler.CollectUICanvasStats,TimeNanoseconds,120,200,300,800
craft every frame,GC.Alloc,TimeNanoseconds,120,500,1200,2000
craft every frame,Canvas.RenderSubBatch,TimeNanoseconds,120,0,0,0
craft every frame,Canvas.PrepareBatches,TimeNanoseconds,120,6900,8900,35200
craft every frame,Canvas.GeometryJob,TimeNanoseconds,120,45500,84800,112700
craft every frame,Canvas.PrepareBatchesJob,TimeNanoseconds,120,7200,9300,35600
