PASS WorldLitBatchingChecks: 15,986 ms
PASS IndustryMaterialVariantChecks: 801,044 ms
PASS ResourceTickChecks: 100,671 ms
PASS ChunkWorkPriorityChecks: 13,289 ms
PASS ControlPresetChecks: 16,834 ms
PASS PresentationViewCacheChecks: 11,179 ms
PASS ResidencyInvalidationChecks: 50,438 ms
PASS ItemInputContractChecks: 3,082 ms
PASS SaveCompatibilityChecks: 1427,362 ms
PASS DomainChecks: 5853,344 ms
PASS CraftingChecks: 609,660 ms
PASS PerformanceChecks: 3511,564 ms
PASS InventoryChecks: 6,915 ms
PASS ToolDurabilityChecks: 6,756 ms
PASS PortableStorageChecks: 4,165 ms
PASS TagReviewChecks: 27,352 ms
PASS FarmingChecks: 492,375 ms
PASS FishingChecks: 12,229 ms
PASS ChickenChecks: 9,197 ms
PASS FoodBalanceChecks: 177,333 ms
PASS CompostChecks: 27,800 ms
PASS BedChecks: 8,603 ms
PASS LightingChecks: 8,988 ms
PASS FluidChecks: 516,801 ms
PASS LavaChecks: 348,546 ms
PASS DayNightChecks: 7,626 ms
PASS AlphaPlaytestChecks: 5,065 ms
PASS AlphaWorldChecks: 128,166 ms
PASS FloaterChecks: 5,535 ms
PASS IndustryChecks: 4456,570 ms
PASS ElectricFurnaceChecks: 70,047 ms
PASS GridAllocationChecks: 9,778 ms
PASS BatteryChecks: 18,915 ms
PASS MultiblockChecks: 44,646 ms
PASS ConnectionChecks: 68,846 ms
PASS ConnectedPipeChecks: 145,598 ms
PASS ItemPipeChecks: 50,851 ms
PASS DoorChecks: 3,946 ms
PASS HandCrankChecks: 6,845 ms
PASS BridgeChecks: 2660,897 ms
PASS RangedPumpChecks: 50,832 ms
PASS CrateChecks: 172,355 ms
PASS CrateRoutingEdgeChecks: 4,307 ms
PASS RenewableChecks: 19,574 ms
PASS RenewablePowerChecks: 3,478 ms
PASS RenewableCompatibilityChecks: 1754,752 ms
