timestamp, temperature.gpu, clocks.current.graphics [MHz], utilization.gpu [%], power.draw [W], clocks_event_reasons.sw_thermal_slowdown
2026/09/20 03:20:53.554, 54, 300 MHz, 1 %, 5.94 W, Not Active
2026/09/20 03:20:55.605, 62, 1920 MHz, 23 %, 60.17 W, Not Active
2026/09/20 03:20:57.641, 64, 1905 MHz, 65 %, 57.20 W, Not Active
2026/09/20 03:20:59.673, 67, 1905 MHz, 21 %, 82.09 W, Not Active
2026/09/20 03:21:01.709, 65, 1485 MHz, 37 %, 52.99 W, Not Active
2026/09/20 03:21:03.756, 72, 1860 MHz, 48 %, 111.56 W, Not Active
2026/09/20 03:21:05.812, 78, 1710 MHz, 80 %, 99.97 W, Active
2026/09/20 03:21:07.850, 79, 1470 MHz, 83 %, 83.05 W, Active
2026/09/20 03:21:09.888, 79, 1665 MHz, 63 %, 74.13 W, Not Active
2026/09/20 03:21:11.926, 80, 1710 MHz, 39 %, 81.78 W, Active
2026/09/20 03:21:13.934, 81, 1740 MHz, 41 %, 83.69 W, Not Active
2026/09/20 03:21:15.962, 81, 1725 MHz, 36 %, 80.16 W, Not Active
2026/09/20 03:21:17.981, 81, 1695 MHz, 41 %, 77.06 W, Active
2026/09/20 03:21:19.990, 81, 1620 MHz, 39 %, 73.46 W, Not Active
2026/09/20 03:21:22.011, 81, 1635 MHz, 40 %, 76.14 W, Not Active
2026/09/20 03:21:24.028, 81, 1635 MHz, 41 %, 75.48 W, Not Active
2026/09/20 03:21:26.055, 80, 1575 MHz, 39 %, 61.54 W, Not Active
2026/09/20 03:21:28.075, 81, 1590 MHz, 45 %, 67.15 W, Active
2026/09/20 03:21:30.091, 82, 1695 MHz, 42 %, 71.11 W, Not Active
2026/09/20 03:21:32.116, 77, 1005 MHz, 22 %, 38.92 W, Not Active
2026/09/20 03:21:34.200, 74, 1050 MHz, 32 %, 40.40 W, Not Active
2026/09/20 03:21:36.224, 74, 1215 MHz, 24 %, 45.53 W, Not Active
2026/09/20 03:21:38.252, 70, 480 MHz, 0 %, 22.27 W, Not Active
2026/09/20 03:21:40.287, 71, 960 MHz, 26 %, 37.23 W, Not Active
2026/09/20 03:21:42.319, 71, 1050 MHz, 25 %, 38.85 W, Not Active
2026/09/20 03:21:44.351, 72, 1200 MHz, 24 %, 42.40 W, Not Active
2026/09/20 03:21:46.374, 72, 1380 MHz, 36 %, 46.29 W, Not Active
2026/09/20 03:21:48.410, 71, 855 MHz, 27 %, 36.25 W, Not Active
2026/09/20 03:21:50.442, 70, 750 MHz, 34 %, 35.44 W, Not Active
2026/09/20 03:21:52.479, 70, 720 MHz, 37 %, 35.47 W, Not Active
2026/09/20 03:21:54.511, 70, 720 MHz, 40 %, 35.64 W, Not Active
2026/09/20 03:21:56.537, 70, 750 MHz, 39 %, 35.65 W, Not Active
2026/09/20 03:21:58.568, 69, 780 MHz, 39 %, 36.06 W, Not Active
2026/09/20 03:22:00.592, 69, 780 MHz, 40 %, 32.07 W, Not Active
2026/09/20 03:22:02.620, 68, 900 MHz, 5 %, 32.70 W, Not Active
2026/09/20 03:22:04.646, 69, 990 MHz, 26 %, 36.20 W, Not Active
2026/09/20 03:22:06.669, 69, 855 MHz, 33 %, 36.82 W, Not Active
2026/09/20 03:22:08.693, 67, 600 MHz, 35 %, 29.28 W, Not Active
