timestamp, temperature.gpu, clocks.current.graphics [MHz], utilization.gpu [%], power.draw [W], clocks_event_reasons.sw_thermal_slowdown
2026/09/20 03:22:09.004, 67, 555 MHz, 35 %, 15.26 W, Not Active
2026/09/20 03:22:11.041, 74, 1890 MHz, 3 %, 72.03 W, Not Active
2026/09/20 03:22:13.094, 77, 1890 MHz, 2 %, 70.45 W, Not Active
2026/09/20 03:22:15.130, 78, 1890 MHz, 33 %, 71.23 W, Not Active
2026/09/20 03:22:17.185, 75, 1305 MHz, 25 %, 48.15 W, Not Active
2026/09/20 03:22:19.233, 75, 1350 MHz, 39 %, 52.47 W, Not Active
2026/09/20 03:22:21.283, 82, 1590 MHz, 55 %, 89.40 W, Active
2026/09/20 03:22:23.317, 81, 1650 MHz, 52 %, 73.83 W, Active
2026/09/20 03:22:25.357, 82, 1590 MHz, 46 %, 77.57 W, Active
2026/09/20 03:22:27.389, 81, 1485 MHz, 52 %, 59.61 W, Active
2026/09/20 03:22:29.413, 83, 1680 MHz, 38 %, 76.87 W, Not Active
2026/09/20 03:22:31.444, 82, 1530 MHz, 45 %, 71.36 W, Active
2026/09/20 03:22:33.471, 83, 1530 MHz, 45 %, 71.72 W, Active
2026/09/20 03:22:35.484, 83, 1560 MHz, 40 %, 70.26 W, Active
2026/09/20 03:22:37.499, 83, 1560 MHz, 38 %, 70.09 W, Active
2026/09/20 03:22:39.520, 83, 1605 MHz, 49 %, 72.11 W, Not Active
2026/09/20 03:22:41.550, 75, 675 MHz, 0 %, 23.32 W, Not Active
2026/09/20 03:22:43.580, 83, 1635 MHz, 39 %, 76.54 W, Active
2026/09/20 03:22:45.604, 82, 1455 MHz, 40 %, 67.36 W, Active
2026/09/20 03:22:47.631, 84, 1740 MHz, 0 %, 85.44 W, Not Active
2026/09/20 03:22:49.670, 82, 1425 MHz, 41 %, 63.28 W, Active
