timestamp, temperature.gpu, clocks.current.graphics [MHz], utilization.gpu [%], power.draw [W], clocks_event_reasons.sw_thermal_slowdown
2026/09/20 03:22:51.009, 80, 1590 MHz, 31 %, 53.06 W, Not Active
2026/09/20 03:22:53.040, 84, 1815 MHz, 29 %, 81.48 W, Active
2026/09/20 03:22:55.078, 83, 1800 MHz, 51 %, 68.55 W, Active
2026/09/20 03:22:57.108, 81, 1080 MHz, 46 %, 47.52 W, Active
2026/09/20 03:22:59.150, 79, 1350 MHz, 18 %, 55.15 W, Not Active
2026/09/20 03:23:01.191, 80, 1440 MHz, 39 %, 57.92 W, Not Active
2026/09/20 03:23:03.231, 81, 1500 MHz, 40 %, 64.47 W, Not Active
2026/09/20 03:23:05.268, 82, 1515 MHz, 40 %, 66.09 W, Not Active
2026/09/20 03:23:07.318, 83, 1575 MHz, 40 %, 68.36 W, Not Active
2026/09/20 03:23:09.354, 83, 1485 MHz, 42 %, 63.60 W, Not Active
2026/09/20 03:23:11.387, 83, 1380 MHz, 42 %, 60.99 W, Active
2026/09/20 03:23:13.408, 83, 1470 MHz, 42 %, 59.90 W, Active
2026/09/20 03:23:15.429, 82, 1350 MHz, 45 %, 53.97 W, Active
2026/09/20 03:23:17.447, 83, 1395 MHz, 44 %, 59.94 W, Active
2026/09/20 03:23:19.472, 84, 1500 MHz, 47 %, 67.14 W, Active
2026/09/20 03:23:21.502, 83, 1440 MHz, 37 %, 61.29 W, Not Active
2026/09/20 03:23:23.537, 81, 1335 MHz, 28 %, 53.15 W, Not Active
2026/09/20 03:23:25.574, 80, 1275 MHz, 44 %, 42.40 W, Not Active
