workload,frame,frame_ms,gc_bytes,gpu_ms,RR.UI,RR.Streaming,RR.IndustryTick,RR.MachineViews,RR.WeatherViews,RR.TorchRefresh,RR.PassiveTick,RR.HostileTick,RR.SurvivalTick,alloc_RR.UI,alloc_RR.Streaming,alloc_RR.IndustryTick,alloc_RR.MachineViews,alloc_RR.WeatherViews,alloc_RR.TorchRefresh,alloc_RR.PassiveTick,alloc_RR.HostileTick,alloc_RR.SurvivalTick,machine_views_created,crate_views_created,timing_timestamp,cpu_main_ms,cpu_render_ms,present_wait_ms,draw_calls,batches,set_pass,srp_draw_calls,shadow_casters
terrain-day,593,24.4945,-1,4.7229,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,3274485409248,3.9808,1.2811,7.1260,-1,-1,45,1714,362
terrain-day,594,29.6323,-1,29.1553,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,3274485520455,2.4068,0.7779,8.6834,-1,-1,45,1714,362
terrain-day,595,29.5510,-1,29.0266,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,3274485631467,1.7797,0.9205,9.3192,-1,-1,45,1714,362
terrain-day,596,28.3259,-1,29.2101,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,3274485742569,2.0474,1.0353,22.4403,-1,-1,45,1714,362
terrain-day,597,29.7549,-1,28.8353,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,3274485987551,2.9504,0.9384,26.6689,-1,-1,45,1714,362
terrain-day,598,29.3470,-1,28.3013,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,3274486283870,2.2222,0.8447,27.3181,-1,-1,45,1714,362
terrain-day,599,28.7144,-1,28.5591,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,3274486579371,3.3139,0.9386,25.0020,-1,-1,45,1714,362
inventory-idle,39,34.2315,-1,20.8015,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,3274506996502,3.1451,1.3141,7.9535,-1,-1,69,1720,368
inventory-idle,40,30.3821,-1,32.3868,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,3274507107605,2.6764,0.9868,8.4261,-1,-1,69,1720,368
inventory-idle,41,33.8193,-1,32.8154,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,3274507218722,2.2597,1.0104,15.7603,-1,-1,69,1720,368
inventory-idle,42,33.6455,-1,32.7017,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,3274507399039,3.3525,1.7342,30.8679,-1,-1,69,1720,368
inventory-idle,43,35.2427,-1,32.5345,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,3274507741366,2.3594,1.7677,28.0111,-1,-1,69,1720,368
inventory-idle,44,34.4211,-1,34.9176,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,3274508045207,3.6831,1.0558,30.1218,-1,-1,69,1720,368
