timestamp, temperature.gpu, clocks.current.graphics [MHz], utilization.gpu [%], power.draw [W], clocks_event_reasons.sw_thermal_slowdown
2026/09/20 03:24:24.004, 71, 645 MHz, 1 %, 24.89 W, Not Active
2026/09/20 03:24:26.044, 78, 1875 MHz, 46 %, 72.97 W, Not Active
2026/09/20 03:24:28.099, 82, 1860 MHz, 35 %, 74.65 W, Not Active
2026/09/20 03:24:30.148, 82, 1860 MHz, 47 %, 75.15 W, Not Active
2026/09/20 03:24:32.178, 78, 1110 MHz, 5 %, 46.91 W, Not Active
2026/09/20 03:24:34.211, 79, 1320 MHz, 40 %, 54.20 W, Not Active
2026/09/20 03:24:36.259, 80, 1470 MHz, 40 %, 60.58 W, Not Active
2026/09/20 03:24:38.291, 81, 1485 MHz, 39 %, 62.69 W, Not Active
2026/09/20 03:24:40.331, 82, 1515 MHz, 39 %, 64.96 W, Not Active
2026/09/20 03:24:42.364, 83, 1545 MHz, 40 %, 67.65 W, Not Active
2026/09/20 03:24:44.387, 84, 1545 MHz, 41 %, 68.48 W, Not Active
2026/09/20 03:24:46.412, 83, 1500 MHz, 44 %, 64.92 W, Not Active
2026/09/20 03:24:48.444, 84, 1575 MHz, 44 %, 71.57 W, Not Active
2026/09/20 03:24:50.483, 84, 1635 MHz, 47 %, 70.89 W, Not Active
2026/09/20 03:24:52.509, 84, 1545 MHz, 45 %, 70.94 W, Active
2026/09/20 03:24:54.521, 83, 1350 MHz, 47 %, 54.69 W, Active
2026/09/20 03:24:56.551, 84, 975 MHz, 46 %, 61.60 W, Active
2026/09/20 03:24:58.568, 85, 1350 MHz, 47 %, 78.61 W, Active
2026/09/20 03:25:00.574, 84, 1470 MHz, 46 %, 65.68 W, Active
2026/09/20 03:25:02.587, 84, 1455 MHz, 45 %, 66.15 W, Active
2026/09/20 03:25:04.606, 83, 1155 MHz, 54 %, 64.16 W, Active
2026/09/20 03:25:06.637, 84, 1485 MHz, 46 %, 65.35 W, Active
2026/09/20 03:25:08.654, 84, 1560 MHz, 47 %, 67.54 W, Active
2026/09/20 03:25:10.674, 83, 1380 MHz, 48 %, 54.90 W, Active
2026/09/20 03:25:12.691, 84, 1545 MHz, 46 %, 69.41 W, Active
2026/09/20 03:25:14.711, 86, 1770 MHz, 49 %, 83.21 W, Not Active
2026/09/20 03:25:16.753, 84, 1500 MHz, 46 %, 65.92 W, Active
2026/09/20 03:25:18.771, 84, 1485 MHz, 45 %, 65.96 W, Active
2026/09/20 03:25:20.796, 84, 1470 MHz, 45 %, 65.87 W, Active
2026/09/20 03:25:22.822, 84, 1500 MHz, 45 %, 66.01 W, Active
2026/09/20 03:25:24.846, 84, 1500 MHz, 45 %, 65.35 W, Active
2026/09/20 03:25:26.868, 84, 1455 MHz, 45 %, 66.23 W, Active
2026/09/20 03:25:28.888, 84, 1485 MHz, 45 %, 65.88 W, Active
2026/09/20 03:25:30.912, 84, 1680 MHz, 45 %, 72.07 W, Not Active
2026/09/20 03:25:32.942, 82, 1290 MHz, 46 %, 56.31 W, Active
2026/09/20 03:25:34.968, 82, 1380 MHz, 48 %, 56.62 W, Active
2026/09/20 03:25:36.994, 84, 1485 MHz, 46 %, 66.76 W, Active
2026/09/20 03:25:39.013, 84, 1470 MHz, 44 %, 66.22 W, Active
2026/09/20 03:25:41.035, 83, 870 MHz, 46 %, 65.56 W, Active
2026/09/20 03:25:43.055, 85, 1845 MHz, 67 %, 72.54 W, Not Active
2026/09/20 03:25:45.074, 85, 1095 MHz, 74 %, 80.45 W, Active
2026/09/20 03:25:47.101, 84, 1455 MHz, 53 %, 68.58 W, Active
2026/09/20 03:25:49.120, 84, 1545 MHz, 54 %, 73.24 W, Active
2026/09/20 03:25:51.137, 84, 1500 MHz, 53 %, 65.81 W, Active
2026/09/20 03:25:53.152, 84, 1500 MHz, 47 %, 65.31 W, Active
2026/09/20 03:25:55.177, 83, 1485 MHz, 48 %, 60.44 W, Not Active
2026/09/20 03:25:57.204, 83, 990 MHz, 47 %, 63.56 W, Active
2026/09/20 03:25:59.229, 82, 1455 MHz, 45 %, 47.48 W, Not Active
2026/09/20 03:26:01.265, 84, 1560 MHz, 47 %, 71.49 W, Active
2026/09/20 03:26:03.279, 84, 1215 MHz, 48 %, 74.97 W, Active
2026/09/20 03:26:05.303, 84, 1485 MHz, 46 %, 67.08 W, Active
2026/09/20 03:26:07.325, 83, 1230 MHz, 45 %, 59.85 W, Active
2026/09/20 03:26:09.346, 82, 300 MHz, 48 %, 54.36 W, Active
2026/09/20 03:26:11.352, 85, 1815 MHz, 83 %, 70.66 W, Not Active
2026/09/20 03:26:13.371, 85, 570 MHz, 85 %, 73.94 W, Active
2026/09/20 03:26:15.462, 82, 300 MHz, 83 %, 47.82 W, Active
2026/09/20 03:26:17.488, 83, 450 MHz, 86 %, 58.67 W, Active
2026/09/20 03:26:19.512, 80, 1005 MHz, 85 %, 40.53 W, Not Active
2026/09/20 03:26:21.628, 84, 1650 MHz, 23 %, 61.95 W, Active
2026/09/20 03:26:23.642, 79, 1065 MHz, 33 %, 44.43 W, Not Active
2026/09/20 03:26:25.677, 78, 1035 MHz, 38 %, 43.76 W, Not Active
2026/09/20 03:26:27.699, 78, 1140 MHz, 40 %, 45.79 W, Not Active
2026/09/20 03:26:29.730, 78, 1200 MHz, 39 %, 48.61 W, Not Active
2026/09/20 03:26:31.767, 79, 1410 MHz, 40 %, 55.47 W, Not Active
2026/09/20 03:26:33.797, 82, 1545 MHz, 40 %, 64.94 W, Not Active
2026/09/20 03:26:35.823, 84, 1560 MHz, 39 %, 69.30 W, Not Active
2026/09/20 03:26:37.848, 83, 1560 MHz, 42 %, 63.98 W, Not Active
2026/09/20 03:26:39.884, 84, 1590 MHz, 44 %, 70.89 W, Active
2026/09/20 03:26:41.899, 83, 1620 MHz, 46 %, 58.52 W, Not Active
2026/09/20 03:26:43.931, 75, 375 MHz, 2 %, 17.86 W, Not Active
2026/09/20 03:26:45.971, 72, 375 MHz, 16 %, 10.81 W, Not Active
2026/09/20 03:26:48.004, 70, 375 MHz, 13 %, 12.35 W, Not Active
2026/09/20 03:26:50.032, 69, 300 MHz, 24 %, 8.81 W, Not Active
2026/09/20 03:26:52.074, 68, 300 MHz, 24 %, 13.58 W, Not Active
2026/09/20 03:26:54.116, 68, 375 MHz, 30 %, 14.72 W, Not Active
2026/09/20 03:26:56.154, 67, 375 MHz, 11 %, 7.76 W, Not Active
2026/09/20 03:26:58.188, 66, 300 MHz, 11 %, 7.67 W, Not Active
2026/09/20 03:27:00.221, 66, 300 MHz, 9 %, 7.51 W, Not Active
2026/09/20 03:27:02.263, 65, 300 MHz, 5 %, 7.39 W, Not Active
2026/09/20 03:27:04.307, 65, 300 MHz, 4 %, 13.56 W, Not Active
2026/09/20 03:27:06.349, 64, 300 MHz, 4 %, 7.39 W, Not Active
2026/09/20 03:27:08.391, 64, 300 MHz, 4 %, 9.87 W, Not Active
2026/09/20 03:27:10.433, 64, 300 MHz, 4 %, 6.98 W, Not Active
2026/09/20 03:27:12.474, 63, 300 MHz, 4 %, 6.97 W, Not Active
2026/09/20 03:27:14.516, 63, 300 MHz, 0 %, 6.97 W, Not Active
2026/09/20 03:27:16.544, 63, 300 MHz, 5 %, 7.06 W, Not Active
2026/09/20 03:27:18.585, 62, 300 MHz, 5 %, 7.06 W, Not Active
2026/09/20 03:27:20.628, 63, 300 MHz, 0 %, 20.95 W, Not Active
2026/09/20 03:27:22.666, 79, 1875 MHz, 50 %, 109.31 W, Not Active
2026/09/20 03:27:24.687, 79, 1425 MHz, 59 %, 81.48 W, Active
2026/09/20 03:27:26.698, 82, 1455 MHz, 92 %, 83.22 W, Active
2026/09/20 03:27:28.722, 81, 945 MHz, 88 %, 78.12 W, Active
2026/09/20 03:27:30.748, 81, 1365 MHz, 99 %, 72.10 W, Active
2026/09/20 03:27:32.773, 83, 1305 MHz, 98 %, 78.04 W, Active
2026/09/20 03:27:34.796, 80, 930 MHz, 97 %, 52.47 W, Active
2026/09/20 03:27:36.819, 81, 990 MHz, 96 %, 57.30 W, Active
2026/09/20 03:27:38.840, 81, 930 MHz, 98 %, 56.28 W, Active
2026/09/20 03:27:40.861, 83, 1380 MHz, 98 %, 79.39 W, Active
2026/09/20 03:27:42.882, 82, 1140 MHz, 98 %, 64.61 W, Active
2026/09/20 03:27:44.894, 83, 975 MHz, 97 %, 68.86 W, Active
2026/09/20 03:27:46.920, 83, 1275 MHz, 96 %, 68.39 W, Active
2026/09/20 03:27:48.942, 83, 1140 MHz, 95 %, 60.97 W, Active
2026/09/20 03:27:50.962, 83, 1245 MHz, 96 %, 72.95 W, Active
2026/09/20 03:27:52.982, 83, 1245 MHz, 97 %, 70.81 W, Active
2026/09/20 03:27:54.997, 82, 795 MHz, 97 %, 67.48 W, Active
2026/09/20 03:27:57.016, 84, 1290 MHz, 98 %, 72.67 W, Active
2026/09/20 03:27:59.047, 83, 1245 MHz, 96 %, 68.53 W, Active
2026/09/20 03:28:01.067, 83, 1125 MHz, 97 %, 62.04 W, Active
2026/09/20 03:28:03.086, 84, 1200 MHz, 96 %, 70.51 W, Active
2026/09/20 03:28:05.108, 83, 720 MHz, 98 %, 56.80 W, Active
2026/09/20 03:28:07.126, 84, 1140 MHz, 99 %, 67.56 W, Active
2026/09/20 03:28:09.155, 84, 1155 MHz, 97 %, 69.05 W, Not Active
2026/09/20 03:28:11.193, 83, 1005 MHz, 98 %, 57.70 W, Active
2026/09/20 03:28:13.212, 84, 1170 MHz, 98 %, 69.74 W, Active
2026/09/20 03:28:15.231, 83, 885 MHz, 98 %, 52.91 W, Active
2026/09/20 03:28:17.252, 84, 1215 MHz, 98 %, 66.91 W, Active
2026/09/20 03:28:19.277, 86, 405 MHz, 96 %, 80.86 W, Active
2026/09/20 03:28:21.294, 84, 1185 MHz, 95 %, 65.00 W, Active
2026/09/20 03:28:23.312, 84, 1110 MHz, 92 %, 66.68 W, Active
2026/09/20 03:28:25.327, 84, 960 MHz, 99 %, 78.62 W, Active
2026/09/20 03:28:27.352, 87, 1575 MHz, 98 %, 106.42 W, Not Active
2026/09/20 03:28:29.372, 85, 1110 MHz, 95 %, 66.74 W, Active
2026/09/20 03:28:31.388, 84, 1140 MHz, 98 %, 66.61 W, Active
2026/09/20 03:28:33.407, 87, 1275 MHz, 97 %, 88.74 W, Active
2026/09/20 03:28:35.430, 83, 1275 MHz, 98 %, 52.76 W, Not Active
2026/09/20 03:28:37.462, 83, 570 MHz, 33 %, 50.64 W, Active
2026/09/20 03:28:39.488, 84, 1155 MHz, 98 %, 65.93 W, Active
2026/09/20 03:28:41.510, 84, 495 MHz, 93 %, 47.85 W, Active
2026/09/20 03:28:43.532, 84, 1200 MHz, 94 %, 64.22 W, Active
2026/09/20 03:28:45.554, 85, 930 MHz, 95 %, 65.55 W, Active
2026/09/20 03:28:47.578, 83, 690 MHz, 95 %, 49.60 W, Active
2026/09/20 03:28:49.603, 84, 1125 MHz, 95 %, 62.06 W, Active
2026/09/20 03:28:51.618, 84, 1125 MHz, 94 %, 65.86 W, Active
2026/09/20 03:28:53.636, 83, 300 MHz, 94 %, 42.34 W, Active
2026/09/20 03:28:55.658, 84, 1110 MHz, 98 %, 64.06 W, Active
2026/09/20 03:28:57.674, 84, 1110 MHz, 95 %, 65.20 W, Active
2026/09/20 03:28:59.695, 84, 1110 MHz, 95 %, 66.04 W, Active
2026/09/20 03:29:01.721, 85, 1095 MHz, 95 %, 64.38 W, Active
2026/09/20 03:29:03.746, 85, 1140 MHz, 95 %, 64.76 W, Active
2026/09/20 03:29:05.767, 85, 1215 MHz, 94 %, 67.94 W, Active
2026/09/20 03:29:07.788, 85, 1185 MHz, 93 %, 68.43 W, Active
2026/09/20 03:29:09.812, 84, 1065 MHz, 96 %, 60.35 W, Active
2026/09/20 03:29:11.841, 84, 1185 MHz, 96 %, 66.37 W, Active
2026/09/20 03:29:13.856, 85, 1230 MHz, 96 %, 66.54 W, Active
2026/09/20 03:29:15.876, 85, 1125 MHz, 96 %, 65.93 W, Active
2026/09/20 03:29:17.892, 83, 915 MHz, 97 %, 53.28 W, Active
2026/09/20 03:29:19.914, 84, 1020 MHz, 94 %, 56.55 W, Active
2026/09/20 03:29:21.937, 86, 960 MHz, 95 %, 65.44 W, Active
2026/09/20 03:29:23.956, 83, 1005 MHz, 95 %, 62.01 W, Not Active
2026/09/20 03:29:25.994, 85, 1170 MHz, 97 %, 65.57 W, Active
2026/09/20 03:29:28.017, 84, 300 MHz, 97 %, 62.27 W, Active
2026/09/20 03:29:30.052, 83, 1005 MHz, 94 %, 55.18 W, Not Active
2026/09/20 03:29:32.086, 84, 300 MHz, 98 %, 45.63 W, Active
2026/09/20 03:29:34.108, 83, 1005 MHz, 96 %, 57.57 W, Not Active
2026/09/20 03:29:36.136, 85, 630 MHz, 96 %, 72.43 W, Active
2026/09/20 03:29:38.153, 86, 435 MHz, 93 %, 89.37 W, Active
2026/09/20 03:29:40.178, 86, 435 MHz, 95 %, 90.30 W, Active
2026/09/20 03:29:42.205, 84, 1080 MHz, 97 %, 63.12 W, Active
2026/09/20 03:29:44.229, 85, 1215 MHz, 96 %, 73.21 W, Active
2026/09/20 03:29:46.244, 83, 1035 MHz, 96 %, 58.11 W, Active
