timestamp, temperature.gpu, clocks.current.graphics [MHz], utilization.gpu [%], power.draw [W], clocks_event_reasons.sw_thermal_slowdown
2026/09/20 03:23:26.294, 78, 1275 MHz, 44 %, 41.19 W, Not Active
2026/09/20 03:23:28.328, 84, 1860 MHz, 11 %, 80.42 W, Not Active
2026/09/20 03:23:30.383, 84, 1785 MHz, 71 %, 67.54 W, Active
2026/09/20 03:23:32.417, 83, 1725 MHz, 36 %, 62.01 W, Active
2026/09/20 03:23:34.450, 79, 1215 MHz, 11 %, 47.50 W, Not Active
2026/09/20 03:23:36.497, 81, 1380 MHz, 40 %, 57.04 W, Not Active
2026/09/20 03:23:38.545, 81, 1335 MHz, 38 %, 55.44 W, Not Active
2026/09/20 03:23:40.581, 80, 1275 MHz, 38 %, 50.87 W, Not Active
2026/09/20 03:23:42.630, 79, 1200 MHz, 38 %, 49.74 W, Not Active
2026/09/20 03:23:44.671, 78, 1170 MHz, 38 %, 48.84 W, Not Active
2026/09/20 03:23:46.694, 78, 1140 MHz, 38 %, 47.74 W, Not Active
2026/09/20 03:23:48.717, 77, 1125 MHz, 39 %, 46.90 W, Not Active
2026/09/20 03:23:50.746, 77, 1155 MHz, 39 %, 47.30 W, Not Active
2026/09/20 03:23:52.781, 79, 1440 MHz, 41 %, 57.59 W, Not Active
2026/09/20 03:23:54.813, 79, 1350 MHz, 36 %, 52.19 W, Not Active
2026/09/20 03:23:56.846, 78, 1260 MHz, 36 %, 50.54 W, Not Active
2026/09/20 03:23:58.882, 77, 1200 MHz, 38 %, 48.13 W, Not Active
2026/09/20 03:24:00.919, 77, 1170 MHz, 38 %, 47.49 W, Not Active
2026/09/20 03:24:02.943, 76, 1140 MHz, 39 %, 46.28 W, Not Active
2026/09/20 03:24:04.980, 75, 1140 MHz, 39 %, 46.15 W, Not Active
2026/09/20 03:24:07.018, 75, 1140 MHz, 39 %, 46.08 W, Not Active
2026/09/20 03:24:09.042, 74, 1125 MHz, 39 %, 45.12 W, Not Active
2026/09/20 03:24:11.070, 74, 1125 MHz, 39 %, 45.07 W, Not Active
2026/09/20 03:24:13.088, 74, 1125 MHz, 39 %, 45.24 W, Not Active
2026/09/20 03:24:15.121, 74, 1125 MHz, 39 %, 45.11 W, Not Active
2026/09/20 03:24:17.146, 74, 1110 MHz, 29 %, 43.77 W, Not Active
2026/09/20 03:24:19.174, 73, 1125 MHz, 31 %, 35.66 W, Not Active
2026/09/20 03:24:21.206, 74, 1200 MHz, 39 %, 46.30 W, Not Active
2026/09/20 03:24:23.236, 72, 930 MHz, 35 %, 34.69 W, Not Active
