PASS IndustryMaterialVariantChecks: 257,828 ms
PASS ResourceTickChecks: 101,302 ms
PASS ChunkWorkPriorityChecks: 12,818 ms
PASS ControlPresetChecks: 17,555 ms
PASS PresentationViewCacheChecks: 5,657 ms
PASS ResidencyInvalidationChecks: 51,338 ms
PASS ItemInputContractChecks: 3,016 ms
PASS SaveCompatibilityChecks: 1460,827 ms
PASS DomainChecks: 5963,225 ms
PASS CraftingChecks: 676,798 ms
PASS PerformanceChecks: 3788,296 ms
PASS InventoryChecks: 6,178 ms
PASS ToolDurabilityChecks: 5,981 ms
PASS PortableStorageChecks: 4,280 ms
PASS TagReviewChecks: 30,447 ms
PASS FarmingChecks: 477,730 ms
PASS FishingChecks: 8,311 ms
PASS ChickenChecks: 5,668 ms
PASS FoodBalanceChecks: 315,968 ms
PASS CompostChecks: 23,784 ms
PASS BedChecks: 11,754 ms
PASS LightingChecks: 5,790 ms
PASS FluidChecks: 477,402 ms
PASS LavaChecks: 216,771 ms
PASS DayNightChecks: 3,470 ms
PASS AlphaPlaytestChecks: 10,555 ms
PASS AlphaWorldChecks: 107,569 ms
PASS FloaterChecks: 4,241 ms
PASS IndustryChecks: 4296,048 ms
PASS ElectricFurnaceChecks: 68,060 ms
PASS GridAllocationChecks: 9,220 ms
PASS BatteryChecks: 20,916 ms
PASS MultiblockChecks: 52,536 ms
PASS ConnectionChecks: 107,326 ms
PASS ConnectedPipeChecks: 154,967 ms
PASS ItemPipeChecks: 49,966 ms
PASS DoorChecks: 6,057 ms
PASS HandCrankChecks: 6,384 ms
PASS BridgeChecks: 2619,091 ms
PASS RangedPumpChecks: 48,003 ms
PASS CrateChecks: 187,239 ms
PASS CrateRoutingEdgeChecks: 3,982 ms
PASS RenewableChecks: 18,340 ms
PASS RenewablePowerChecks: 3,807 ms
PASS RenewableCompatibilityChecks: 1906,793 ms
