active_seconds,food,saturation,exhaustion,walked_metres
0,20,3,0.738578598726281,0.00
60,20,3,3.62605914913464,70.62
120,20,2,2.52389430888344,142.63
180,20,1,1.42177659593871,214.63
240,20,0,0.319657773453507,286.64
300,20,0,3.21723567717126,358.61
360,19,0,2.11522027485422,430.64
420,18,0,1.01314264841728,502.65
480,18,0,3.91100125335507,574.66
540,17,0,2.80863941692166,646.63
600,16,0,1.70660149924808,718.65
660,15,0,0.604226828891585,790.63
720,15,0,3.50179471992309,862.60
780,14,0,2.39935920767839,934.56
840,13,0,1.29716949485597,1006.56
900,12,0,0.195001311231231,1078.56
