timestamp, temperature.gpu, clocks.current.graphics [MHz], utilization.gpu [%], power.draw [W], clocks_event_reasons.sw_thermal_slowdown
2026/09/20 02:07:24.664, 84, 1575 MHz, 7 %, 54.83 W, Not Active
2026/09/20 02:07:26.707, 85, 1680 MHz, 24 %, 76.31 W, Active
2026/09/20 02:07:28.736, 85, 1710 MHz, 58 %, 62.81 W, Active
2026/09/20 02:07:30.758, 84, 1365 MHz, 47 %, 44.61 W, Active
2026/09/20 02:07:32.785, 81, 900 MHz, 10 %, 44.24 W, Not Active
2026/09/20 02:07:34.900, 83, 1320 MHz, 41 %, 57.35 W, Not Active
2026/09/20 02:07:36.936, 84, 1395 MHz, 39 %, 60.39 W, Not Active
2026/09/20 02:07:38.981, 84, 1365 MHz, 40 %, 55.82 W, Active
2026/09/20 02:07:41.015, 85, 1470 MHz, 53 %, 64.37 W, Not Active
2026/09/20 02:07:43.063, 84, 1440 MHz, 46 %, 57.67 W, Active
2026/09/20 02:07:45.086, 85, 1455 MHz, 44 %, 60.19 W, Not Active
2026/09/20 02:07:47.124, 85, 1470 MHz, 45 %, 60.33 W, Active
2026/09/20 02:07:49.137, 85, 1395 MHz, 56 %, 60.63 W, Active
2026/09/20 02:07:51.154, 85, 1395 MHz, 44 %, 60.79 W, Active
2026/09/20 02:07:53.168, 85, 1395 MHz, 45 %, 60.90 W, Active
2026/09/20 02:07:55.191, 85, 1395 MHz, 46 %, 61.04 W, Active
2026/09/20 02:07:57.214, 85, 1350 MHz, 47 %, 60.65 W, Active
2026/09/20 02:07:59.229, 85, 1350 MHz, 48 %, 60.88 W, Active
2026/09/20 02:08:01.253, 84, 1245 MHz, 21 %, 54.92 W, Not Active
2026/09/20 02:08:03.421, 86, 1680 MHz, 39 %, 69.00 W, Not Active
2026/09/20 02:08:05.443, 85, 1695 MHz, 48 %, 56.17 W, Active
