workload,frame,frame_ms,gc_bytes,gpu_ms,RR.UI,RR.Streaming,RR.IndustryTick,RR.MachineViews,RR.WeatherViews,RR.TorchRefresh,RR.PassiveTick,RR.HostileTick,RR.SurvivalTick,alloc_RR.UI,alloc_RR.Streaming,alloc_RR.IndustryTick,alloc_RR.MachineViews,alloc_RR.WeatherViews,alloc_RR.TorchRefresh,alloc_RR.PassiveTick,alloc_RR.HostileTick,alloc_RR.SurvivalTick,machine_views_created,crate_views_created,timing_timestamp,cpu_main_ms,cpu_render_ms,present_wait_ms,draw_calls,batches,set_pass,srp_draw_calls,shadow_casters
factory-192,528,43.4610,-1,20.1751,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,3220865132201,3.4883,1.1170,7.6083,-1,-1,61,2558,492
factory-192,529,49.5490,-1,43.6664,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,3220865243316,2.6869,3.9975,13.3043,-1,-1,61,2558,492
factory-192,530,48.4641,-1,48.7393,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,3220865403426,8.3788,2.1311,11.2191,-1,-1,61,2558,492
factory-192,531,33.9019,-1,48.3389,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,3220865599726,6.6924,1.1773,36.7441,-1,-1,61,2558,492
stress-factory-farm-mobs-clear,19,27.4055,-1,13.6540,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,3222234880124,4.9458,3.8766,7.2330,-1,-1,170,7259,2441
stress-factory-farm-mobs-clear,20,27.4052,-1,23.6196,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,3222235002027,5.1995,4.4259,5.8922,-1,-1,171,7259,2443
stress-factory-farm-mobs-clear,21,27.5762,-1,27.2287,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,3222235113048,17.2711,4.4319,0.0143,-1,-1,171,7259,2443
stress-factory-farm-mobs-clear,22,27.7520,-1,27.2635,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,3222235286070,5.9736,4.0263,21.4222,-1,-1,171,7259,2443
stress-factory-farm-mobs-clear,23,28.2857,-1,27.7855,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,3222235560091,10.9224,4.0882,16.4706,-1,-1,171,7259,2443
stress-factory-farm-mobs-clear,24,27.1257,-1,27.8444,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,3222235834141,6.2316,3.6427,21.3324,-1,-1,171,7259,2443
