timestamp, temperature.gpu, clocks.current.graphics [MHz], utilization.gpu [%], power.draw [W], clocks_event_reasons.sw_thermal_slowdown
2026/09/20 01:54:27.711, 52, 300 MHz, 0 %, 5.79 W, Not Active
2026/09/20 01:54:29.767, 59, 1920 MHz, 3 %, 57.76 W, Not Active
2026/09/20 01:54:31.806, 61, 1920 MHz, 86 %, 55.14 W, Not Active
2026/09/20 01:54:33.848, 62, 1905 MHz, 10 %, 56.42 W, Not Active
2026/09/20 01:54:35.877, 61, 1350 MHz, 27 %, 45.25 W, Not Active
2026/09/20 01:54:37.924, 62, 1365 MHz, 39 %, 46.19 W, Not Active
2026/09/20 01:54:39.961, 63, 1455 MHz, 40 %, 49.80 W, Not Active
2026/09/20 01:54:42.004, 64, 1530 MHz, 39 %, 55.33 W, Not Active
2026/09/20 01:54:44.050, 65, 1575 MHz, 40 %, 57.32 W, Not Active
2026/09/20 01:54:46.091, 67, 1665 MHz, 39 %, 63.39 W, Not Active
2026/09/20 01:54:48.119, 69, 1680 MHz, 40 %, 66.35 W, Not Active
2026/09/20 01:54:50.152, 71, 1770 MHz, 40 %, 74.90 W, Not Active
2026/09/20 01:54:52.175, 74, 1845 MHz, 40 %, 85.02 W, Not Active
2026/09/20 01:54:54.204, 80, 1845 MHz, 47 %, 98.11 W, Active
2026/09/20 01:54:56.331, 79, 1785 MHz, 42 %, 87.26 W, Active
2026/09/20 01:54:58.354, 80, 1725 MHz, 41 %, 84.31 W, Active
2026/09/20 01:55:00.367, 80, 1740 MHz, 41 %, 85.28 W, Active
2026/09/20 01:55:02.384, 80, 1530 MHz, 42 %, 78.35 W, Active
2026/09/20 01:55:04.653, 80, 1665 MHz, 41 %, 81.93 W, Active
2026/09/20 01:55:06.679, 81, 1755 MHz, 42 %, 80.81 W, Active
2026/09/20 01:55:08.697, 81, 1755 MHz, 42 %, 79.15 W, Active
2026/09/20 01:55:10.719, 81, 1725 MHz, 42 %, 78.53 W, Active
2026/09/20 01:55:12.773, 81, 1680 MHz, 42 %, 79.11 W, Active
2026/09/20 01:55:14.792, 81, 1695 MHz, 42 %, 79.56 W, Active
2026/09/20 01:55:16.815, 81, 1770 MHz, 42 %, 81.52 W, Not Active
2026/09/20 01:55:18.841, 80, 1590 MHz, 43 %, 70.95 W, Active
2026/09/20 01:55:20.857, 81, 1545 MHz, 42 %, 72.54 W, Active
2026/09/20 01:55:22.984, 81, 1650 MHz, 43 %, 76.59 W, Active
2026/09/20 01:55:24.999, 82, 1650 MHz, 42 %, 76.46 W, Active
2026/09/20 01:55:27.022, 82, 1665 MHz, 43 %, 76.74 W, Active
2026/09/20 01:55:29.041, 82, 1695 MHz, 43 %, 75.38 W, Active
2026/09/20 01:55:31.063, 81, 1515 MHz, 43 %, 75.60 W, Active
2026/09/20 01:55:33.084, 81, 1530 MHz, 43 %, 75.80 W, Active
2026/09/20 01:55:35.106, 82, 1635 MHz, 43 %, 76.01 W, Active
2026/09/20 01:55:37.122, 81, 1590 MHz, 43 %, 72.02 W, Active
2026/09/20 01:55:39.144, 82, 1650 MHz, 42 %, 76.67 W, Active
2026/09/20 01:55:41.333, 82, 1605 MHz, 43 %, 72.96 W, Active
2026/09/20 01:55:43.352, 81, 1440 MHz, 43 %, 70.19 W, Active
2026/09/20 01:55:45.366, 82, 1635 MHz, 43 %, 73.64 W, Active
2026/09/20 01:55:47.391, 82, 1605 MHz, 49 %, 75.66 W, Active
2026/09/20 01:55:49.819, 81, 1575 MHz, 49 %, 69.75 W, Active
2026/09/20 01:55:51.844, 81, 1425 MHz, 49 %, 62.18 W, Active
2026/09/20 01:55:53.876, 81, 1350 MHz, 49 %, 59.87 W, Active
2026/09/20 01:55:55.895, 81, 1425 MHz, 43 %, 63.42 W, Active
2026/09/20 01:55:57.910, 82, 1560 MHz, 44 %, 66.04 W, Active
2026/09/20 01:55:59.936, 83, 1605 MHz, 43 %, 74.40 W, Active
2026/09/20 01:56:01.949, 82, 1560 MHz, 44 %, 69.41 W, Active
2026/09/20 01:56:03.970, 83, 1305 MHz, 44 %, 78.03 W, Active
2026/09/20 01:56:05.991, 81, 1440 MHz, 43 %, 60.15 W, Active
2026/09/20 01:56:08.272, 82, 1620 MHz, 43 %, 70.74 W, Active
2026/09/20 01:56:10.297, 82, 1650 MHz, 44 %, 76.49 W, Active
2026/09/20 01:56:12.318, 86, 1785 MHz, 29 %, 108.10 W, Not Active
2026/09/20 01:56:14.331, 82, 1440 MHz, 68 %, 74.34 W, Active
2026/09/20 01:56:16.527, 83, 1455 MHz, 65 %, 73.37 W, Active
2026/09/20 01:56:18.535, 83, 555 MHz, 65 %, 109.87 W, Active
2026/09/20 01:56:20.563, 85, 1380 MHz, 75 %, 105.31 W, Active
2026/09/20 01:56:22.578, 82, 1710 MHz, 42 %, 69.28 W, Active
2026/09/20 01:56:24.596, 77, 1095 MHz, 29 %, 44.13 W, Not Active
2026/09/20 01:56:26.623, 75, 1050 MHz, 37 %, 42.93 W, Not Active
2026/09/20 01:56:28.655, 74, 1140 MHz, 39 %, 44.12 W, Not Active
2026/09/20 01:56:30.680, 74, 1230 MHz, 40 %, 47.17 W, Not Active
2026/09/20 01:56:32.717, 75, 1410 MHz, 40 %, 54.20 W, Not Active
2026/09/20 01:56:34.741, 78, 1545 MHz, 40 %, 63.51 W, Not Active
2026/09/20 01:56:36.775, 79, 1605 MHz, 40 %, 68.45 W, Not Active
2026/09/20 01:56:38.812, 83, 1680 MHz, 40 %, 79.79 W, Not Active
2026/09/20 01:56:40.844, 83, 1650 MHz, 43 %, 75.05 W, Active
2026/09/20 01:56:43.120, 81, 1740 MHz, 6 %, 61.93 W, Not Active
2026/09/20 01:56:45.143, 71, 375 MHz, 9 %, 14.74 W, Not Active
