timestamp, temperature.gpu, clocks.current.graphics [MHz], utilization.gpu [%], power.draw [W], clocks_event_reasons.sw_thermal_slowdown
2026/09/20 02:57:06.881, 80, 1545 MHz, 15 %, 49.65 W, Not Active
2026/09/20 02:57:08.917, 84, 1860 MHz, 45 %, 80.24 W, Not Active
2026/09/20 02:57:10.999, 84, 1800 MHz, 38 %, 69.10 W, Active
2026/09/20 02:57:13.031, 83, 1695 MHz, 48 %, 63.94 W, Active
2026/09/20 02:57:15.053, 80, 1245 MHz, 4 %, 50.37 W, Not Active
2026/09/20 02:57:17.087, 80, 1335 MHz, 40 %, 55.43 W, Not Active
2026/09/20 02:57:19.129, 81, 1410 MHz, 40 %, 58.81 W, Not Active
2026/09/20 02:57:21.166, 81, 1470 MHz, 40 %, 62.47 W, Not Active
2026/09/20 02:57:23.202, 83, 1545 MHz, 39 %, 68.69 W, Not Active
2026/09/20 02:57:25.233, 83, 1515 MHz, 41 %, 67.52 W, Not Active
2026/09/20 02:57:27.269, 83, 1380 MHz, 41 %, 56.84 W, Active
2026/09/20 02:57:29.290, 84, 1590 MHz, 43 %, 72.07 W, Active
2026/09/20 02:57:31.309, 84, 1575 MHz, 43 %, 71.17 W, Active
2026/09/20 02:57:33.324, 82, 1350 MHz, 43 %, 55.41 W, Active
2026/09/20 02:57:35.341, 84, 1485 MHz, 43 %, 64.24 W, Active
2026/09/20 02:57:37.366, 84, 1470 MHz, 45 %, 64.99 W, Active
2026/09/20 02:57:39.391, 84, 1455 MHz, 45 %, 65.18 W, Active
2026/09/20 02:57:41.403, 84, 1455 MHz, 45 %, 65.52 W, Active
2026/09/20 02:57:43.425, 84, 1485 MHz, 45 %, 65.31 W, Active
2026/09/20 02:57:45.438, 84, 1500 MHz, 45 %, 65.76 W, Active
2026/09/20 02:57:47.468, 84, 1455 MHz, 45 %, 65.43 W, Active
2026/09/20 02:57:49.480, 84, 1500 MHz, 45 %, 65.72 W, Active
2026/09/20 02:57:51.497, 84, 1455 MHz, 45 %, 65.43 W, Active
2026/09/20 02:57:53.517, 84, 1455 MHz, 45 %, 65.47 W, Active
2026/09/20 02:57:55.540, 84, 1500 MHz, 45 %, 65.79 W, Active
2026/09/20 02:57:57.560, 84, 1455 MHz, 45 %, 65.37 W, Active
2026/09/20 02:57:59.581, 84, 1500 MHz, 46 %, 68.53 W, Active
2026/09/20 02:58:01.605, 83, 1275 MHz, 47 %, 57.30 W, Active
2026/09/20 02:58:03.622, 84, 1605 MHz, 44 %, 69.67 W, Active
2026/09/20 02:58:05.647, 83, 1485 MHz, 46 %, 60.03 W, Active
2026/09/20 02:58:07.672, 84, 1560 MHz, 47 %, 71.75 W, Active
2026/09/20 02:58:09.693, 85, 1545 MHz, 48 %, 82.62 W, Active
2026/09/20 02:58:11.712, 84, 1260 MHz, 45 %, 68.96 W, Active
2026/09/20 02:58:13.729, 84, 1575 MHz, 46 %, 72.97 W, Active
2026/09/20 02:58:15.756, 83, 1500 MHz, 46 %, 63.40 W, Active
2026/09/20 02:58:17.787, 84, 1590 MHz, 47 %, 72.20 W, Active
2026/09/20 02:58:19.801, 83, 1170 MHz, 46 %, 61.87 W, Active
2026/09/20 02:58:21.822, 84, 1530 MHz, 45 %, 68.69 W, Active
2026/09/20 02:58:23.848, 84, 1485 MHz, 46 %, 66.44 W, Active
2026/09/20 02:58:25.861, 83, 1425 MHz, 44 %, 66.04 W, Active
2026/09/20 02:58:27.882, 83, 1425 MHz, 52 %, 65.63 W, Active
2026/09/20 02:58:29.893, 83, 1425 MHz, 51 %, 66.16 W, Active
2026/09/20 02:58:31.903, 82, 1320 MHz, 51 %, 55.74 W, Active
2026/09/20 02:58:33.931, 83, 1515 MHz, 51 %, 63.44 W, Active
2026/09/20 02:58:35.951, 84, 1575 MHz, 46 %, 69.71 W, Active
2026/09/20 02:58:37.964, 85, 1350 MHz, 50 %, 83.07 W, Active
2026/09/20 02:58:39.986, 84, 1545 MHz, 46 %, 71.53 W, Active
2026/09/20 02:58:42.008, 84, 1530 MHz, 47 %, 67.87 W, Active
2026/09/20 02:58:44.033, 83, 1350 MHz, 46 %, 58.90 W, Active
2026/09/20 02:58:46.060, 83, 1500 MHz, 46 %, 62.80 W, Active
2026/09/20 02:58:48.078, 84, 1605 MHz, 46 %, 69.00 W, Active
2026/09/20 02:58:50.110, 83, 1785 MHz, 46 %, 71.48 W, Active
2026/09/20 02:58:52.126, 84, 1560 MHz, 55 %, 56.68 W, Not Active
2026/09/20 02:58:54.152, 84, 1395 MHz, 77 %, 69.79 W, Active
2026/09/20 02:58:56.174, 84, 1395 MHz, 76 %, 65.46 W, Active
2026/09/20 02:58:58.193, 83, 1425 MHz, 81 %, 69.36 W, Active
2026/09/20 02:59:00.218, 84, 1365 MHz, 70 %, 67.37 W, Active
2026/09/20 02:59:02.242, 82, 1335 MHz, 23 %, 53.37 W, Active
2026/09/20 02:59:04.259, 78, 1035 MHz, 33 %, 43.15 W, Not Active
2026/09/20 02:59:06.292, 77, 1035 MHz, 38 %, 43.28 W, Not Active
2026/09/20 02:59:08.325, 77, 1155 MHz, 40 %, 46.36 W, Not Active
2026/09/20 02:59:10.359, 78, 1200 MHz, 40 %, 48.51 W, Not Active
2026/09/20 02:59:12.392, 79, 1425 MHz, 41 %, 57.37 W, Not Active
2026/09/20 02:59:14.417, 81, 1545 MHz, 40 %, 66.36 W, Not Active
2026/09/20 02:59:16.448, 84, 1590 MHz, 39 %, 72.57 W, Not Active
2026/09/20 02:59:18.470, 84, 1575 MHz, 43 %, 69.46 W, Active
2026/09/20 02:59:20.488, 83, 1410 MHz, 46 %, 62.11 W, Active
2026/09/20 02:59:22.513, 82, 1620 MHz, 48 %, 56.84 W, Not Active
2026/09/20 02:59:24.542, 74, 375 MHz, 4 %, 18.87 W, Not Active
2026/09/20 02:59:26.576, 71, 375 MHz, 11 %, 12.77 W, Not Active
2026/09/20 02:59:28.618, 70, 375 MHz, 13 %, 12.04 W, Not Active
2026/09/20 02:59:30.650, 69, 300 MHz, 25 %, 8.08 W, Not Active
2026/09/20 02:59:32.693, 68, 300 MHz, 25 %, 11.86 W, Not Active
2026/09/20 02:59:34.731, 68, 375 MHz, 37 %, 15.17 W, Not Active
2026/09/20 02:59:36.761, 67, 300 MHz, 11 %, 8.97 W, Not Active
2026/09/20 02:59:38.810, 66, 300 MHz, 9 %, 7.59 W, Not Active
2026/09/20 02:59:40.853, 66, 300 MHz, 9 %, 7.31 W, Not Active
2026/09/20 02:59:42.886, 65, 300 MHz, 9 %, 7.37 W, Not Active
2026/09/20 02:59:44.925, 65, 300 MHz, 4 %, 7.31 W, Not Active
2026/09/20 02:59:46.958, 64, 300 MHz, 4 %, 7.16 W, Not Active
2026/09/20 02:59:48.992, 64, 300 MHz, 4 %, 7.22 W, Not Active
2026/09/20 02:59:51.029, 64, 300 MHz, 4 %, 7.04 W, Not Active
2026/09/20 02:59:53.060, 64, 300 MHz, 4 %, 10.34 W, Not Active
2026/09/20 02:59:55.106, 63, 300 MHz, 5 %, 6.89 W, Not Active
2026/09/20 02:59:57.138, 63, 300 MHz, 0 %, 7.13 W, Not Active
2026/09/20 02:59:59.174, 63, 300 MHz, 5 %, 6.96 W, Not Active
2026/09/20 03:00:01.204, 62, 300 MHz, 4 %, 6.76 W, Not Active
2026/09/20 03:00:03.242, 76, 1890 MHz, 35 %, 107.17 W, Not Active
2026/09/20 03:00:05.271, 80, 1530 MHz, 59 %, 92.86 W, Active
2026/09/20 03:00:07.293, 81, 1410 MHz, 83 %, 85.05 W, Active
2026/09/20 03:00:09.312, 81, 1500 MHz, 88 %, 79.33 W, Active
2026/09/20 03:00:11.329, 81, 1215 MHz, 87 %, 64.44 W, Active
2026/09/20 03:00:13.347, 81, 1245 MHz, 96 %, 71.25 W, Active
2026/09/20 03:00:15.365, 81, 1260 MHz, 96 %, 72.11 W, Active
2026/09/20 03:00:17.394, 85, 1635 MHz, 94 %, 111.01 W, Not Active
2026/09/20 03:00:19.417, 85, 1605 MHz, 98 %, 92.41 W, Not Active
2026/09/20 03:00:21.435, 83, 1320 MHz, 97 %, 76.27 W, Active
2026/09/20 03:00:23.455, 83, 1335 MHz, 97 %, 75.50 W, Active
2026/09/20 03:00:25.480, 83, 1620 MHz, 97 %, 52.92 W, Not Active
2026/09/20 03:00:27.511, 84, 1260 MHz, 97 %, 73.21 W, Active
2026/09/20 03:00:29.528, 82, 1005 MHz, 97 %, 57.85 W, Active
2026/09/20 03:00:31.554, 83, 1275 MHz, 97 %, 72.95 W, Active
2026/09/20 03:00:33.572, 83, 1065 MHz, 98 %, 62.21 W, Active
2026/09/20 03:00:35.588, 83, 885 MHz, 98 %, 57.88 W, Active
2026/09/20 03:00:37.609, 86, 1635 MHz, 98 %, 82.58 W, Not Active
2026/09/20 03:00:39.632, 84, 1215 MHz, 98 %, 71.79 W, Active
2026/09/20 03:00:41.652, 84, 675 MHz, 96 %, 72.28 W, Active
2026/09/20 03:00:43.672, 84, 1245 MHz, 97 %, 70.24 W, Active
2026/09/20 03:00:45.695, 83, 1125 MHz, 98 %, 66.22 W, Active
2026/09/20 03:00:47.719, 83, 1110 MHz, 97 %, 65.64 W, Active
