PASS RouteInstancingChecks: 129,341 ms
PASS IndustryMaterialVariantChecks: 16,581 ms
PASS ResourceTickChecks: 93,019 ms
PASS ChunkWorkPriorityChecks: 12,966 ms
PASS ControlPresetChecks: 17,256 ms
PASS PresentationViewCacheChecks: 5,168 ms
PASS ResidencyInvalidationChecks: 46,813 ms
PASS ItemInputContractChecks: 2,835 ms
PASS SaveCompatibilityChecks: 1521,201 ms
PASS DomainChecks: 5736,988 ms
PASS CraftingChecks: 612,414 ms
PASS PerformanceChecks: 3695,646 ms
PASS InventoryChecks: 6,266 ms
PASS ToolDurabilityChecks: 6,907 ms
PASS PortableStorageChecks: 4,692 ms
PASS TagReviewChecks: 30,111 ms
PASS FarmingChecks: 472,340 ms
PASS FishingChecks: 8,543 ms
PASS ChickenChecks: 5,809 ms
PASS FoodBalanceChecks: 175,721 ms
PASS CompostChecks: 16,835 ms
PASS BedChecks: 5,818 ms
PASS LightingChecks: 5,989 ms
PASS FluidChecks: 482,746 ms
PASS LavaChecks: 237,757 ms
PASS DayNightChecks: 3,520 ms
PASS AlphaPlaytestChecks: 3,924 ms
PASS AlphaWorldChecks: 107,075 ms
PASS FloaterChecks: 3,616 ms
PASS IndustryChecks: 4211,711 ms
PASS ElectricFurnaceChecks: 71,092 ms
PASS GridAllocationChecks: 9,317 ms
PASS BatteryChecks: 19,375 ms
PASS MultiblockChecks: 46,316 ms
PASS ConnectionChecks: 68,193 ms
PASS ConnectedPipeChecks: 144,398 ms
PASS ItemPipeChecks: 44,015 ms
PASS DoorChecks: 3,459 ms
PASS HandCrankChecks: 8,255 ms
PASS BridgeChecks: 2670,694 ms
PASS RangedPumpChecks: 47,376 ms
PASS CrateChecks: 179,690 ms
PASS CrateRoutingEdgeChecks: 4,404 ms
PASS RenewableChecks: 17,207 ms
PASS RenewablePowerChecks: 3,350 ms
PASS RenewableCompatibilityChecks: 1940,946 ms
